alpha,K,support_mode,audit_policy,audit_budget_fraction_requested,audit_budget_fraction_effective,seeds,nonempty_seeds,safe_seeds,mean_release_size,median_release_size,max_release_size,total_released,total_false_t1,mean_FTR_t1_if_nonempty,mean_FTR_t1_empty_zero,mean_raw_topK_t1_FTR,mean_verified_t1_positives,mean_verified_positive_yield,mean_max_evalue,mean_required_evalue_threshold_if_released,mean_self_consistency_margin,mean_evidence_mass,self_consistency_pass_any_seed,strict_alpha_0p10_success,relaxed_current_mp_operating_success,boundary_nonempty,evidence_scope,random_same_budget_nonempty_seeds,random_same_budget_safe_seeds,random_same_budget_refuses,claim_status
0.1,25,t1_10pct_support,low_risk_score_targeted_t1_audit,0.01,0.01,20,0,0,0.0,0.0,0,0,0,,0.0,0.2720000000000001,5.95,0.9916666666666668,19.69635329973608,,-6.576045665719185,0.37038328135906495,False,False,False,False,current_MP_relaxed_recertification_frontier;queue_limited_public_label_t1_recertification_emulation;small_K_alpha_grid_reported_in_full;t1_labels_used_only_as_calibration_side_one_sided_positives;test_side_t1_labels_used_only_after_release_for_FTR;not_DFT_evidence;not_prospective_materials_discovery;not_strict_alpha_0p10_certificate_if_relaxed_only,0,0,True,certified_refusal
0.1,25,t1_10pct_support,low_risk_score_targeted_t1_audit,0.02,0.02,20,0,0,0.0,0.0,0,0,0,,0.0,0.2720000000000001,11.25,0.9435606060606061,20.968655573329965,,-6.165608069348343,0.41455203012459474,False,False,False,False,current_MP_relaxed_recertification_frontier;queue_limited_public_label_t1_recertification_emulation;small_K_alpha_grid_reported_in_full;t1_labels_used_only_as_calibration_side_one_sided_positives;test_side_t1_labels_used_only_after_release_for_FTR;not_DFT_evidence;not_prospective_materials_discovery;not_strict_alpha_0p10_certificate_if_relaxed_only,0,0,True,certified_refusal
0.1,25,t1_10pct_support,low_risk_score_targeted_t1_audit,0.05,0.05,20,3,0,2.4,0.0,25,48,14,0.3318181818181818,0.04977272727272727,0.2720000000000001,24.65,0.8298467874357753,23.11573216357552,17.853535353535353,-3.5900698568407927,0.6969236393680773,True,False,False,True,current_MP_relaxed_recertification_frontier;queue_limited_public_label_t1_recertification_emulation;small_K_alpha_grid_reported_in_full;t1_labels_used_only_as_calibration_side_one_sided_positives;test_side_t1_labels_used_only_after_release_for_FTR;not_DFT_evidence;not_prospective_materials_discovery;not_strict_alpha_0p10_certificate_if_relaxed_only,0,0,True,boundary_nonempty_no_primary_gate
0.1,25,t1_10pct_support,low_risk_score_targeted_t1_audit,0.1,0.1,20,3,0,2.4,0.0,25,48,14,0.3318181818181818,0.04977272727272727,0.2720000000000001,44.6,0.7523320130546013,22.74243649517977,17.853535353535353,-3.3735876044678763,0.6976762385156565,True,False,False,True,current_MP_relaxed_recertification_frontier;queue_limited_public_label_t1_recertification_emulation;small_K_alpha_grid_reported_in_full;t1_labels_used_only_as_calibration_side_one_sided_positives;test_side_t1_labels_used_only_after_release_for_FTR;not_DFT_evidence;not_prospective_materials_discovery;not_strict_alpha_0p10_certificate_if_relaxed_only,0,0,True,boundary_nonempty_no_primary_gate
0.1,25,t1_10pct_support,low_risk_score_targeted_t1_audit,0.2,0.1,20,3,0,2.4,0.0,25,48,14,0.3318181818181818,0.04977272727272727,0.2720000000000001,44.6,0.7523320130546013,22.74243649517977,17.853535353535353,-3.3735876044678763,0.6976762385156565,True,False,False,True,current_MP_relaxed_recertification_frontier;queue_limited_public_label_t1_recertification_emulation;small_K_alpha_grid_reported_in_full;t1_labels_used_only_as_calibration_side_one_sided_positives;test_side_t1_labels_used_only_after_release_for_FTR;not_DFT_evidence;not_prospective_materials_discovery;not_strict_alpha_0p10_certificate_if_relaxed_only,0,0,True,boundary_nonempty_no_primary_gate
0.1,25,t1_10pct_support,low_risk_score_targeted_t1_audit,1.0,0.1,20,3,0,2.4,0.0,25,48,14,0.3318181818181818,0.04977272727272727,0.2720000000000001,44.6,0.7523320130546013,22.74243649517977,17.853535353535353,-3.3735876044678763,0.6976762385156565,True,False,False,True,current_MP_relaxed_recertification_frontier;queue_limited_public_label_t1_recertification_emulation;small_K_alpha_grid_reported_in_full;t1_labels_used_only_as_calibration_side_one_sided_positives;test_side_t1_labels_used_only_after_release_for_FTR;not_DFT_evidence;not_prospective_materials_discovery;not_strict_alpha_0p10_certificate_if_relaxed_only,0,0,True,boundary_nonempty_no_primary_gate
0.1,25,t1_10pct_support,random_t1_audit,0.002,0.002,20,0,0,0.0,0.0,0,0,0,,0.0,0.2720000000000001,0.5,0.5,19.479375732725043,,-6.842422774741083,0.34619490433971606,False,False,False,False,current_MP_relaxed_recertification_frontier;queue_limited_public_label_t1_recertification_emulation;small_K_alpha_grid_reported_in_full;t1_labels_used_only_as_calibration_side_one_sided_positives;test_side_t1_labels_used_only_after_release_for_FTR;not_DFT_evidence;not_prospective_materials_discovery;not_strict_alpha_0p10_certificate_if_relaxed_only,0,0,True,certified_refusal
0.1,25,t1_10pct_support,random_t1_audit,0.005,0.005,20,0,0,0.0,0.0,0,0,0,,0.0,0.2720000000000001,1.7,0.5666666666666667,19.462180254743256,,-6.845753472136113,0.34585764840619365,False,False,False,False,current_MP_relaxed_recertification_frontier;queue_limited_public_label_t1_recertification_emulation;small_K_alpha_grid_reported_in_full;t1_labels_used_only_as_calibration_side_one_sided_positives;test_side_t1_labels_used_only_after_release_for_FTR;not_DFT_evidence;not_prospective_materials_discovery;not_strict_alpha_0p10_certificate_if_relaxed_only,0,0,True,certified_refusal
0.1,25,t1_10pct_support,random_t1_audit,0.01,0.01,20,0,0,0.0,0.0,0,0,0,,0.0,0.2720000000000001,3.05,0.5083333333333334,19.44282917532449,,-6.849404593791654,0.3454917046245987,False,False,False,False,current_MP_relaxed_recertification_frontier;queue_limited_public_label_t1_recertification_emulation;small_K_alpha_grid_reported_in_full;t1_labels_used_only_as_calibration_side_one_sided_positives;test_side_t1_labels_used_only_after_release_for_FTR;not_DFT_evidence;not_prospective_materials_discovery;not_strict_alpha_0p10_certificate_if_relaxed_only,0,0,True,certified_refusal
0.1,25,t1_10pct_support,random_t1_audit,0.02,0.02,20,0,0,0.0,0.0,0,0,0,,0.0,0.2720000000000001,6.55,0.55,19.399383746584714,,-6.857320971334142,0.3446896843281531,False,False,False,False,current_MP_relaxed_recertification_frontier;queue_limited_public_label_t1_recertification_emulation;small_K_alpha_grid_reported_in_full;t1_labels_used_only_as_calibration_side_one_sided_positives;test_side_t1_labels_used_only_after_release_for_FTR;not_DFT_evidence;not_prospective_materials_discovery;not_strict_alpha_0p10_certificate_if_relaxed_only,0,0,True,certified_refusal
0.1,25,t1_10pct_support,random_t1_audit,0.05,0.05,20,0,0,0.0,0.0,0,0,0,,0.0,0.2720000000000001,15.15,0.5112614545261931,19.25332053254397,,-6.844818566544174,0.343990091994662,False,False,False,False,current_MP_relaxed_recertification_frontier;queue_limited_public_label_t1_recertification_emulation;small_K_alpha_grid_reported_in_full;t1_labels_used_only_as_calibration_side_one_sided_positives;test_side_t1_labels_used_only_after_release_for_FTR;not_DFT_evidence;not_prospective_materials_discovery;not_strict_alpha_0p10_certificate_if_relaxed_only,0,0,True,certified_refusal
0.1,25,t1_10pct_support,random_t1_audit,0.1,0.1,20,0,0,0.0,0.0,0,0,0,,0.0,0.2720000000000001,29.6,0.4998453984107898,19.089482238650998,,-6.804699364741128,0.3459068707517175,False,False,False,False,current_MP_relaxed_recertification_frontier;queue_limited_public_label_t1_recertification_emulation;small_K_alpha_grid_reported_in_full;t1_labels_used_only_as_calibration_side_one_sided_positives;test_side_t1_labels_used_only_after_release_for_FTR;not_DFT_evidence;not_prospective_materials_discovery;not_strict_alpha_0p10_certificate_if_relaxed_only,0,0,True,certified_refusal
