method,audit_policy,empty_block_policy,alpha1,score_source,n_cal_total,n_covered,n_excluded_empty,n_rank_denominator,n_rank,n_nonempty,n_empty_null_videos,n_inf_blockmax_videos,gamma,gamma_star_eff,p_min_theoretical,p_min_block,p_min_effective,emax_theoretical,emax_effective,required_emax,release_feasible,max_observed_e,mean_observed_e,candidate_budget_M,real_candidate_count,dummy_paths,released,official_supported,unsupported,unsupported_actually_true,unsupported_actually_false,unsupported_uncertain,unsupported_unlabeled,audited_released,true_released,false_released,uncertain_released,utr,audited_ftr_on_labeled_released,audited_ftr_supported_plus_labeled,conservative_ftr_uncertain_and_unlabeled_false,recall_proxy,verified_positive_removed,null_superset_size,tau_k,self_consistency_margin,best_margin_k,best_margin_tau,best_margin,selected_e_min,selected_e_mean,selected_e_max,empty_reason,empty_diagnostic
unmatched_as_false_block,treat_unmatched_as_false_baseline,coverage_conditional,0.1,final_score_proxy,884,600,284,600,600,600,284,0,0.5,0.1562843108887373,0.0011299435028248,0.0016638935108153079,0.0016638935108153079,14.874474780643903,12.257650672131263,10.0,True,12.257650672131263,9.921170678786474,150,150,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,,0.0,0,1852,,,150,10.0,-2.923042084812618,,,,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs
null_superset_no_audit,remove_official_gt_matches_only,coverage_conditional,0.1,final_score_proxy,884,600,284,600,600,600,284,0,0.1562843108887373,0.1562843108887373,0.0011299435028248,0.0016638935108153079,0.0016638935108153079,47.8958245824538,34.55376475712119,10.0,True,34.55376475712119,24.860469588916626,150,150,0,150,149,1,0,0,0,1,0,0,0,0,0.006666666666666667,,0.0,0.006666666666666667,1.0,0,1852,10.0,3.6754203382642068,67,22.388059701492537,12.165705055628656,13.675420338264207,24.860469588916626,34.55376475712119,,
parc_track_gamma_tuned_uniform_scs,remove_official_gt_matches_and_verified_positive_for_calibration,coverage_conditional,0.1,final_score_proxy,884,600,284,600,600,600,284,0,0.1562843108887373,0.1562843108887373,0.0011299435028248,0.0016638935108153079,0.0016638935108153079,47.8958245824538,34.55376475712119,10.0,True,34.55376475712119,24.860469588916626,150,150,0,150,149,1,0,0,0,1,0,0,0,0,0.006666666666666667,,0.0,0.006666666666666667,1.0,0,1852,10.0,3.6754203382642068,67,22.388059701492537,12.165705055628656,13.675420338264207,24.860469588916626,34.55376475712119,,
