domain,dataset,proposal_source,K,alpha,PARC_released_mean,raw_false_links_mean,raw_false_link_fraction_mean,raw_component_corruption_proxy_mean,PARC_false_links_mean,PARC_false_link_fraction_mean,PARC_component_corruption_proxy_mean,prevented_false_links_mean,prevented_component_corruption_proxy_mean,best_mass_ratio_mean,seeds,non_empty_seeds,interpretation,evidence_status
biomedical_cell_tracking,Cell Tracking Challenge,ctc_learned_hybrid,100,0.1,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3321283238137231,20,20,raw_queue_already_clean_or_no_release,completed_official_GT_lineage_consequence
biomedical_cell_tracking,Cell Tracking Challenge,ctc_learned_hybrid,300,0.1,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3321283238137231,20,20,raw_queue_already_clean_or_no_release,completed_official_GT_lineage_consequence
biomedical_cell_tracking,Cell Tracking Challenge,ctc_learned_hybrid,5000,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3912460887040905,20,0,raw_queue_already_clean_or_no_release,completed_official_GT_lineage_consequence
biomedical_cell_tracking,Cell Tracking Challenge,ctc_noisy_geometric_linker,100,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6651292527987277,20,0,raw_queue_already_clean_or_no_release,completed_official_GT_lineage_consequence
biomedical_cell_tracking,Cell Tracking Challenge,ctc_noisy_geometric_linker,300,0.1,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.05,0.6651292527987277,20,0,raw_queue_already_clean_or_no_release,completed_official_GT_lineage_consequence
biomedical_cell_tracking,Cell Tracking Challenge,ctc_noisy_geometric_linker,5000,0.1,0.0,2907.5,0.5815000000000001,6899.6,0.0,0.0,0.0,2907.5,6899.6,0.0938763427400124,20,0,PARC_prevents_false_lineage_edges,completed_official_GT_lineage_consequence
biomedical_cell_tracking,Cell Tracking Challenge,ctc_random_score_negative_control,100,0.1,0.0,80.55,0.8055,92.95,0.0,0.0,0.0,80.55,92.95,0.0682352941648057,20,0,PARC_prevents_false_lineage_edges,completed_official_GT_lineage_consequence
biomedical_cell_tracking,Cell Tracking Challenge,ctc_random_score_negative_control,300,0.1,0.0,237.0,0.7899999999999999,345.95,0.0,0.0,0.0,237.0,345.95,0.0432946939211821,20,0,PARC_prevents_false_lineage_edges,completed_official_GT_lineage_consequence
biomedical_cell_tracking,Cell Tracking Challenge,ctc_random_score_negative_control,5000,0.1,0.0,3997.05,0.7994100000000001,8636.95,0.0,0.0,0.0,3997.05,8636.95,0.0198405300286021,20,0,PARC_prevents_false_lineage_edges,completed_official_GT_lineage_consequence
