method,candidate_budget_M,k,tau_k,e_at_k,margin_k,mass_ratio_k,num_above_tau,unconstrained_feasible
null_superset_no_audit,150,1,1500.0,21.82374391726804,-1478.176256082732,0.014549162611512028,0,False
null_superset_no_audit,150,2,750.0,21.82374391726804,-728.1762560827319,0.029098325223024055,0,False
null_superset_no_audit,150,3,499.99999999999994,21.82374391726804,-478.1762560827319,0.043647487834536085,0,False
null_superset_no_audit,150,4,375.0,21.82374391726804,-353.176256082732,0.05819665044604811,0,False
null_superset_no_audit,150,5,300.0,21.82374391726804,-278.176256082732,0.07274581305756013,0,False
null_superset_no_audit,150,6,249.99999999999997,21.82374391726804,-228.17625608273192,0.08729497566907217,0,False
null_superset_no_audit,150,7,214.28571428571428,21.82374391726804,-192.46197036844623,0.1018441382805842,0,False
null_superset_no_audit,150,8,187.5,21.82374391726804,-165.67625608273195,0.11639330089209622,0,False
null_superset_no_audit,150,9,166.66666666666666,21.82374391726804,-144.8429227493986,0.13094246350360825,0,False
null_superset_no_audit,150,10,150.0,21.82374391726804,-128.17625608273195,0.14549162611512026,0,False
null_superset_no_audit,150,11,136.36363636363635,21.82374391726804,-114.5398924463683,0.1600407887266323,0,False
null_superset_no_audit,150,12,124.99999999999999,21.82374391726804,-103.17625608273195,0.17458995133814434,0,False
null_superset_no_audit,150,13,115.38461538461539,21.82374391726804,-93.56087146734734,0.18913911394965635,0,False
null_superset_no_audit,150,14,107.14285714285714,21.82374391726804,-85.31911322558909,0.2036882765611684,0,False
null_superset_no_audit,150,15,100.0,21.82374391726804,-78.17625608273195,0.21823743917268038,0,False
null_superset_no_audit,150,16,93.75,21.82374391726804,-71.92625608273195,0.23278660178419244,0,False
null_superset_no_audit,150,17,88.23529411764704,21.82374391726804,-66.411550200379,0.24733576439570445,0,False
null_superset_no_audit,150,18,83.33333333333333,21.82374391726804,-61.50958941606529,0.2618849270072165,0,False
null_superset_no_audit,150,19,78.94736842105263,21.82374391726804,-57.12362450378459,0.2764340896187285,0,False
null_superset_no_audit,150,20,75.0,21.82374391726804,-53.17625608273196,0.2909832522302405,0,False
null_superset_no_audit,150,21,71.42857142857143,21.82374391726804,-49.60482751130339,0.30553241484175253,0,False
null_superset_no_audit,150,22,68.18181818181817,21.82374391726804,-46.35807426455013,0.3200815774532646,0,False
null_superset_no_audit,150,23,65.21739130434781,21.82374391726804,-43.393647387079774,0.33463074006477667,0,False
null_superset_no_audit,150,24,62.49999999999999,21.82374391726804,-40.67625608273195,0.3491799026762887,0,False
null_superset_no_audit,150,25,60.0,21.82374391726804,-38.17625608273196,0.3637290652878007,0,False
null_superset_no_audit,150,26,57.69230769230769,21.82374391726804,-35.868563775039654,0.3782782278993127,0,False
null_superset_no_audit,150,27,55.55555555555555,21.82374391726804,-33.73181163828751,0.3928273905108247,0,False
null_superset_no_audit,150,28,53.57142857142857,21.82374391726804,-31.74768465416053,0.4073765531223368,0,False
null_superset_no_audit,150,29,51.72413793103448,21.82374391726804,-29.900394013766437,0.4219257157338488,0,False
null_superset_no_audit,150,30,50.0,21.82374391726804,-28.17625608273196,0.43647487834536075,0,False
null_superset_no_audit,150,31,48.387096774193544,21.82374391726804,-26.563352856925505,0.4510240409568728,0,False
null_superset_no_audit,150,32,46.875,21.82374391726804,-25.05125608273196,0.4655732035683849,0,False
null_superset_no_audit,150,33,45.45454545454545,21.82374391726804,-23.630801537277414,0.48012236617989695,0,False
null_superset_no_audit,150,34,44.11764705882352,21.82374391726804,-22.293903141555482,0.4946715287914089,0,False
null_superset_no_audit,150,35,42.857142857142854,21.82374391726804,-21.033398939874814,0.5092206914029209,0,False
null_superset_no_audit,150,36,41.666666666666664,21.82374391726804,-19.842922749398625,0.523769854014433,0,False
null_superset_no_audit,150,37,40.54054054054054,21.82374391726804,-18.7167966232725,0.5383190166259451,0,False
null_superset_no_audit,150,38,39.473684210526315,21.82374391726804,-17.649940293258275,0.552868179237457,0,False
null_superset_no_audit,150,39,38.46153846153846,21.82374391726804,-16.63779454427042,0.5674173418489691,0,False
null_superset_no_audit,150,40,37.5,21.82374391726804,-15.67625608273196,0.581966504460481,0,False
null_superset_no_audit,150,41,36.58536585365853,21.82374391726804,-14.76162193639049,0.5965156670719931,0,False
null_superset_no_audit,150,42,35.714285714285715,21.82374391726804,-13.890541797017676,0.6110648296835051,0,False
null_superset_no_audit,150,43,34.883720930232556,21.82374391726804,-13.059977012964517,0.6256139922950171,0,False
null_superset_no_audit,150,44,34.090909090909086,21.82374391726804,-12.267165173641047,0.6401631549065292,0,False
null_superset_no_audit,150,45,33.333333333333336,21.82374391726804,-11.509589416065296,0.6547123175180413,0,False
null_superset_no_audit,150,46,32.60869565217391,21.82374391726804,-10.784951734905867,0.6692614801295533,0,False
null_superset_no_audit,150,47,31.914893617021274,21.82374391726804,-10.091149699753235,0.6838106427410653,0,False
null_superset_no_audit,150,48,31.249999999999996,21.82374391726804,-9.426256082731957,0.6983598053525774,0,False
null_superset_no_audit,150,49,30.612244897959183,21.82374391726804,-8.788500980691143,0.7129089679640893,0,False
null_superset_no_audit,150,50,30.0,21.82374391726804,-8.17625608273196,0.7274581305756014,0,False
null_superset_no_audit,150,51,29.41176470588235,21.82374391726804,-7.588020788614312,0.7420072931871134,0,False
null_superset_no_audit,150,52,28.846153846153847,21.82374391726804,-7.022409928885807,0.7565564557986254,0,False
null_superset_no_audit,150,53,28.301886792452827,21.82374391726804,-6.478142875184787,0.7711056184101375,0,False
null_superset_no_audit,150,54,27.777777777777775,21.82374391726804,-5.954033860509735,0.7856547810216494,0,False
null_superset_no_audit,150,55,27.272727272727273,21.82374391726804,-5.448983355459234,0.8002039436331614,0,False
null_superset_no_audit,150,56,26.785714285714285,21.82374391726804,-4.961970368446245,0.8147531062446736,0,False
null_superset_no_audit,150,57,26.31578947368421,21.82374391726804,-4.492045556416169,0.8293022688561855,0,False
null_superset_no_audit,150,58,25.86206896551724,21.82374391726804,-4.038325048249199,0.8438514314676976,0,False
null_superset_no_audit,150,59,25.423728813559322,21.82374391726804,-3.599984896291282,0.8584005940792095,0,False
null_superset_no_audit,150,60,25.0,21.82374391726804,-3.1762560827319604,0.8729497566907215,0,False
null_superset_no_audit,150,61,24.590163934426226,21.82374391726804,-2.766420017158186,0.8874989193022337,0,False
null_superset_no_audit,150,62,24.193548387096772,21.82374391726804,-2.3698044698287326,0.9020480819137456,0,False
null_superset_no_audit,150,63,23.809523809523807,21.82374391726804,-1.985779892255767,0.9165972445252578,0,False
null_superset_no_audit,150,64,23.4375,21.82374391726804,-1.6137560827319604,0.9311464071367698,0,False
null_superset_no_audit,150,65,23.076923076923077,21.82374391726804,-1.253179159655037,0.9456955697482817,0,False
null_superset_no_audit,150,66,22.727272727272727,21.82374391726804,-0.903528810004687,0.9602447323597939,0,False
null_superset_no_audit,150,67,22.388059701492537,21.82374391726804,-0.5643157842244975,0.9747938949713059,0,False
null_superset_no_audit,150,68,22.05882352941176,21.82374391726804,-0.2350796121437213,0.9893430575828178,0,False
null_superset_no_audit,150,69,21.73913043478261,21.82374391726804,0.08461348248543032,1.0038922201943299,106,True
null_superset_no_audit,150,70,21.428571428571427,21.82374391726804,0.3951724886966126,1.0184413828058418,106,True
null_superset_no_audit,150,71,21.12676056338028,21.82374391726804,0.6969833538877594,1.032990545417354,106,True
null_superset_no_audit,150,72,20.833333333333332,21.82374391726804,0.9904105839347075,1.047539708028866,106,True
null_superset_no_audit,150,73,20.54794520547945,21.82374391726804,1.275798711788589,1.0620888706403782,106,True
