method,alpha1,candidate_budget_M,released_mean,released_std,utr_mean,conservative_ftr_mean,margin_mean,nonempty_rate
confidence_threshold,0.1,150,150.0,0.0,0.011111111111111112,0.011111111111111112,,1.0
confidence_threshold,0.2,150,150.0,0.0,0.011111111111111112,0.011111111111111112,,1.0
greedy_score_no_risk,0.1,150,150.0,0.0,0.011111111111111112,0.011111111111111112,,1.0
greedy_score_no_risk,0.2,150,150.0,0.0,0.011111111111111112,0.011111111111111112,,1.0
null_superset_no_audit,0.1,150,150.0,0.0,0.011111111111111066,0.011111111111111066,10.662316980431816,1.0
null_superset_no_audit,0.2,150,150.0,0.0,0.011111111111111066,0.011111111111111066,15.662316980431816,1.0
parc_track_gamma_tuned_uniform_scs,0.1,150,150.0,0.0,0.011111111111111066,0.011111111111111066,10.662316980431816,1.0
parc_track_gamma_tuned_uniform_scs,0.2,150,150.0,0.0,0.011111111111111066,0.011111111111111066,15.662316980431816,1.0
post_filter_e_bh,0.1,150,150.0,0.0,0.011111111111111112,0.011111111111111112,10.662316980431816,1.0
post_filter_e_bh,0.2,150,150.0,0.0,0.011111111111111112,0.011111111111111112,15.662316980431816,1.0
tracklet_e_bh,0.1,150,150.0,0.0,0.011111111111111112,0.011111111111111112,5.797974638826335,1.0
tracklet_e_bh,0.2,150,150.0,0.0,0.011111111111111112,0.011111111111111112,10.797974638826334,1.0
tracklet_p_bh,0.1,150,150.0,0.0,0.011111111111111112,0.011111111111111112,,1.0
tracklet_p_bh,0.2,150,150.0,0.0,0.011111111111111112,0.011111111111111112,,1.0
unmatched_as_false_block,0.1,150,50.0,86.60254037844386,0.006666666666666667,0.02,2.298373876248844,0.3333333333333333
unmatched_as_false_block,0.2,150,150.0,0.0,0.011111111111111066,0.011111111111111066,3.805625060954032,1.0
