method,audit_policy,empty_block_policy,alpha1,score_source,n_cal_total,n_covered,n_excluded_empty,n_rank_denominator,n_rank,n_nonempty,n_empty_null_videos,n_inf_blockmax_videos,gamma,gamma_star_eff,p_min_theoretical,p_min_block,p_min_effective,emax_theoretical,emax_effective,required_emax,release_feasible,max_observed_e,mean_observed_e,candidate_budget_M,real_candidate_count,dummy_paths,released,official_supported,unsupported,unsupported_actually_true,unsupported_actually_false,unsupported_uncertain,unsupported_unlabeled,audited_released,true_released,false_released,uncertain_released,utr,audited_ftr_on_labeled_released,audited_ftr_supported_plus_labeled,conservative_ftr_uncertain_and_unlabeled_false,recall_proxy,verified_positive_removed,null_superset_size,tau_k,self_consistency_margin,best_margin_k,best_margin_tau,best_margin,selected_e_min,selected_e_mean,selected_e_max,empty_reason,empty_diagnostic
unmatched_as_false_block,treat_unmatched_as_false_baseline,coverage_conditional,0.05,final_score_proxy,708,591,117,591,591,591,117,0,0.5,0.1566537104442394,0.001410437235543,0.0016891891891891893,0.0016891891891891893,13.313526955694433,12.165525060596439,20.0,True,12.165525060596439,8.958006251407944,75,75,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,,0.0,0,2753,,,75,20.0,-13.917237469701782,,,,no_k_satisfies_uniform_self_consistency,resolution_below_required_emax
unmatched_as_false_block,treat_unmatched_as_false_baseline,coverage_conditional,0.05,final_score_proxy,708,591,117,591,591,591,117,0,0.5,0.1566537104442394,0.001410437235543,0.0016891891891891893,0.0016891891891891893,13.313526955694433,12.165525060596439,20.0,True,12.165525060596439,8.18644385967496,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,,0.0,0,2753,,,100,20.0,-15.03344519141622,,,,no_k_satisfies_uniform_self_consistency,resolution_below_required_emax
unmatched_as_false_block,treat_unmatched_as_false_baseline,coverage_conditional,0.05,final_score_proxy,708,591,117,591,591,591,117,0,0.5,0.1566537104442394,0.001410437235543,0.0016891891891891893,0.0016891891891891893,13.313526955694433,12.165525060596439,20.0,True,12.165525060596439,7.542466049456723,125,125,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,,0.0,0,2753,,,125,20.0,-15.03344519141622,,,,no_k_satisfies_uniform_self_consistency,resolution_below_required_emax
unmatched_as_false_block,treat_unmatched_as_false_baseline,coverage_conditional,0.05,final_score_proxy,708,591,117,591,591,591,117,0,0.5,0.1566537104442394,0.001410437235543,0.0016891891891891893,0.0016891891891891893,13.313526955694433,12.165525060596439,20.0,True,12.165525060596439,6.997518763885249,150,150,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,,0.0,0,2753,,,150,20.0,-16.15292318766573,,,,no_k_satisfies_uniform_self_consistency,resolution_below_required_emax
unmatched_as_false_block,treat_unmatched_as_false_baseline,coverage_conditional,0.05,final_score_proxy,708,591,117,591,591,591,117,0,0.5,0.1566537104442394,0.001410437235543,0.0016891891891891893,0.0016891891891891893,13.313526955694433,12.165525060596439,20.0,True,12.165525060596439,6.524948623012104,175,175,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,,0.0,0,2753,,,175,20.0,-16.33195618148509,,,,no_k_satisfies_uniform_self_consistency,resolution_below_required_emax
unmatched_as_false_block,treat_unmatched_as_false_baseline,coverage_conditional,0.05,final_score_proxy,708,591,117,591,591,591,117,0,0.5,0.1566537104442394,0.001410437235543,0.0016891891891891893,0.0016891891891891893,13.313526955694433,12.165525060596439,20.0,True,12.165525060596439,6.1678355224499555,200,200,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,,0.0,0,2753,,,200,20.0,-16.33195618148509,,,,no_k_satisfies_uniform_self_consistency,resolution_below_required_emax
unmatched_as_false_block,treat_unmatched_as_false_baseline,coverage_conditional,0.05,final_score_proxy,708,591,117,591,591,591,117,0,0.5,0.1566537104442394,0.001410437235543,0.0016891891891891893,0.0016891891891891893,13.313526955694433,12.165525060596439,20.0,True,12.165525060596439,5.594671843717537,250,250,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,,0.0,0,2753,,,250,20.0,-16.95861873485089,,,,no_k_satisfies_uniform_self_consistency,resolution_below_required_emax
null_superset_no_audit,remove_official_gt_matches_only,coverage_conditional,0.05,final_score_proxy,708,591,117,591,591,591,117,0,0.1566537104442394,0.1566537104442394,0.001410437235543,0.0016891891891891893,0.0016891891891891893,39.72122294384446,34.11677023775056,20.0,True,34.11677023775056,21.51894043304608,75,75,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,,0.0,0,2753,,,75,20.0,-9.402025970654433,,,,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs
null_superset_no_audit,remove_official_gt_matches_only,coverage_conditional,0.05,final_score_proxy,708,591,117,591,591,591,117,0,0.1566537104442394,0.1566537104442394,0.001410437235543,0.0016891891891891893,0.0016891891891891893,39.72122294384446,34.11677023775056,20.0,True,34.11677023775056,18.642079582383204,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,,0.0,0,2753,,,94,21.27659574468085,-10.678621715335284,,,,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs
null_superset_no_audit,remove_official_gt_matches_only,coverage_conditional,0.05,final_score_proxy,708,591,117,591,591,591,117,0,0.1566537104442394,0.1566537104442394,0.001410437235543,0.0016891891891891893,0.0016891891891891893,39.72122294384446,34.11677023775056,20.0,True,34.11677023775056,16.419393088016445,125,125,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,,0.0,0,2753,,,125,20.0,-12.471352889450607,,,,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs
null_superset_no_audit,remove_official_gt_matches_only,coverage_conditional,0.05,final_score_proxy,708,591,117,591,591,591,117,0,0.1566537104442394,0.1566537104442394,0.001410437235543,0.0016891891891891893,0.0016891891891891893,39.72122294384446,34.11677023775056,20.0,True,34.11677023775056,14.659577593529882,150,150,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,,0.0,0,2753,,,147,20.408163265306122,-15.059921501527825,,,,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs
null_superset_no_audit,remove_official_gt_matches_only,coverage_conditional,0.05,final_score_proxy,708,591,117,591,591,591,117,0,0.1566537104442394,0.1566537104442394,0.001410437235543,0.0016891891891891893,0.0016891891891891893,39.72122294384446,34.11677023775056,20.0,True,34.11677023775056,13.216913725256381,175,175,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,,0.0,0,2753,,,175,20.0,-15.484422985415966,,,,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs
null_superset_no_audit,remove_official_gt_matches_only,coverage_conditional,0.05,final_score_proxy,708,591,117,591,591,591,117,0,0.1566537104442394,0.1566537104442394,0.001410437235543,0.0016891891891891893,0.0016891891891891893,39.72122294384446,34.11677023775056,20.0,True,34.11677023775056,12.129246636422337,200,200,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,,0.0,0,2753,,,200,20.0,-15.484422985415966,,,,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs
null_superset_no_audit,remove_official_gt_matches_only,coverage_conditional,0.05,final_score_proxy,708,591,117,591,591,591,117,0,0.1566537104442394,0.1566537104442394,0.001410437235543,0.0016891891891891893,0.0016891891891891893,39.72122294384446,34.11677023775056,20.0,True,34.11677023775056,10.460768980910427,250,250,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,,0.0,0,2753,,,247,20.24291497975708,-16.55835963393221,,,,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs
parc_track_gamma_tuned_uniform_scs,remove_official_gt_matches_and_verified_positive_for_calibration,coverage_conditional,0.05,final_score_proxy,708,588,120,588,588,588,120,0,0.15677848597873242,0.15677848597873242,0.001410437235543,0.001697792869269949,0.001697792869269949,39.72031650906805,33.97091768583136,20.0,True,33.97091768583136,24.815249810992995,75,75,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,,0.0,41,2712,,,41,36.58536585365853,-2.6144481678271703,,,,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs
