stress_family,domain,source,K,alpha,raw_FTR,PARC_release,PARC_FTR,mass_ratio,max_observed_e,refusal_reason,outcome,evidence_state
high_K_unsafe_request,materials_discovery,cgcnn_ensemble_learned_materials_model,5000,0.2,0.40651,0.0,0.0,0.5701362691612932,164.68978404622916,insufficient_high_e_mass_for_uniform_scs,materials_release_or_refusal_sensitivity,completed_evidence_or_sensitivity
high_K_unsafe_request,materials_discovery,cgcnn_ensemble_learned_materials_model,1000,0.05,0.4096,12.75,0.0023547155872937,0.7120571676163732,164.5441668977051,insufficient_high_e_mass_for_uniform_scs,materials_release_or_refusal_sensitivity,completed_evidence_or_sensitivity
high_K_unsafe_request,materials_discovery,cgcnn_ensemble_learned_materials_model,5000,0.05,0.40651,0.0,0.0,0.1424114335232746,164.5441668977051,insufficient_high_e_mass_for_uniform_scs,materials_release_or_refusal_sensitivity,completed_evidence_or_sensitivity
high_K_unsafe_request,materials_discovery,cgcnn_ensemble_learned_materials_model,1000,0.1,0.4096,83.05,0.0135530164863021,1.4241143352327463,164.5441668977051,,materials_release_or_refusal_sensitivity,completed_evidence_or_sensitivity
high_K_unsafe_request,materials_discovery,cgcnn_ensemble_learned_materials_model,5000,0.1,0.40651,0.0,0.0,0.2848228670465493,164.5441668977051,insufficient_high_e_mass_for_uniform_scs,materials_release_or_refusal_sensitivity,completed_evidence_or_sensitivity
high_K_unsafe_request,materials_discovery,cgcnn_ensemble_learned_materials_model,1000,0.2,0.4096,118.8,0.0318972059842815,2.8482286704654927,164.5441668977051,,materials_release_or_refusal_sensitivity,completed_evidence_or_sensitivity
high_K_unsafe_request,materials_discovery,cgcnn_ensemble_learned_materials_model,5000,0.2,0.40651,0.0,0.0,0.5696457340930986,164.5441668977051,insufficient_high_e_mass_for_uniform_scs,materials_release_or_refusal_sensitivity,completed_evidence_or_sensitivity
block_shift_downsampled_max,materials_discovery,materials_alignn_alpha010_K500,500,0.1,0.3151999999999999,97.77,0.0536619532485681,2.36234113684839,164.63075259685945,release_stable,no_over_alpha_mean_FTR,completed_stress_diagnostic
block_shift_downsampled_max,materials_discovery,materials_alignn_alpha010_K500,500,0.1,0.3151999999999999,93.66,0.0495181825223257,2.36234113684839,164.63075259685945,release_stable,no_over_alpha_mean_FTR,completed_stress_diagnostic
block_shift_downsampled_max,materials_discovery,materials_alignn_alpha010_K500,500,0.1,0.3151999999999999,89.9,0.0450169244609248,2.3597061632237923,164.63075259685945,release_stable,no_over_alpha_mean_FTR,completed_stress_diagnostic
