dft_job_id,candidate_id,arm,formula,n_sites,elements,qe_input_path,qe_output_dir,kpoints_grid,ecutwfc_ry,ecutrho_ry,pseudo_files,pseudo_sha256,pw_x,mpirun,selected_before_DFT_outcome,outcome_available,completed_positive_result,claim_scope
a3v4-phase29b-parc-release-full-0011,mattergen_pilot_5k_3gpu_02663,PARC-release-full,Y6 V1 Sb2,9,Sb|V|Y,outputs/milestones/mattergen_parc_prospective_dft_followup/A3_QE_LOCAL_RUN/qe_inputs/a3v4-phase29b-parc-release-full-0011/pw.vc-relax.in,outputs/milestones/mattergen_parc_prospective_dft_followup/A3_QE_LOCAL_RUN/qe_outputs/a3v4-phase29b-parc-release-full-0011,6 3 3,60,480,sb_pbe_v1.4.uspp.F.UPF|v_pbe_v1.4.uspp.F.UPF|Y_pbe_v1.uspp.F.UPF,efe7c83d2aca3ab7d66eb1fc5b50c6e865e18521318454a41a9c106cb1f456d0|4fc8afef98a911c82908fb9142edf71b2f598dd98762b355a6d291d834fb6d0c|5be8c6f04a4624425acd919bf34103b4498606638e23b0adb6386ce4f6fc86fc,pw.x,mpirun.openmpi,True,False,False,local_QE_input_deck_only_no_DFT_outcome
a3v4-phase29b-parc-release-full-0012,mattergen_pilot_5k_3gpu_01331,PARC-release-full,Tm1 Ta2 Mo1 O8,12,Mo|O|Ta|Tm,outputs/milestones/mattergen_parc_prospective_dft_followup/A3_QE_LOCAL_RUN/qe_inputs/a3v4-phase29b-parc-release-full-0012/pw.vc-relax.in,outputs/milestones/mattergen_parc_prospective_dft_followup/A3_QE_LOCAL_RUN/qe_outputs/a3v4-phase29b-parc-release-full-0012,5 5 4,60,480,Mo_ONCV_PBE-1.0.oncvpsp.upf|O.pbe-n-kjpaw_psl.0.1.UPF|Ta_pbe_v1.uspp.F.UPF|Tm.GGA-PBE-paw-v1.0.UPF,bf2bf79aec40a5e0f0b390faabb4be1a33829e8e25d28040e01a08f0ab1dcb03|7c4b6ed541f83d0afdf5c1d3a8c611340f073f3e2b11e95b7963bb2ee26929aa|e0850b94d7007d47691d131db1fa5ffdaaa6f6a573c1ebf1fb425e46ed891ee1|219d7ba1e216b5f8101468aad272e3db75eb813efc546acbe8844147c22498ee,pw.x,mpirun.openmpi,True,False,False,local_QE_input_deck_only_no_DFT_outcome
a3v4-phase29b-parc-release-full-0013,mattergen_pilot_5k_3gpu_02637,PARC-release-full,Cs2 Ta2 N2 F6,12,Cs|F|N|Ta,outputs/milestones/mattergen_parc_prospective_dft_followup/A3_QE_LOCAL_RUN/qe_inputs/a3v4-phase29b-parc-release-full-0013/pw.vc-relax.in,outputs/milestones/mattergen_parc_prospective_dft_followup/A3_QE_LOCAL_RUN/qe_outputs/a3v4-phase29b-parc-release-full-0013,4 4 3,60,480,Cs_pbe_v1.uspp.F.UPF|f_pbe_v1.4.uspp.F.UPF|N.pbe-n-radius_5.UPF|Ta_pbe_v1.uspp.F.UPF,5039c3123828de0c626459254b67b6637225866dd81d5ee1d855e26f99d3ac2c|9802dd8e5c30fe92ff0a8dc0865f4fb9023d6a3a42caccdd33c0de6de83d0883|9efee6eb6465c9020af3c8f395fa837810e8f1263ac6cfd52e437a170f8f6e9a|e0850b94d7007d47691d131db1fa5ffdaaa6f6a573c1ebf1fb425e46ed891ee1,pw.x,mpirun.openmpi,True,False,False,local_QE_input_deck_only_no_DFT_outcome
a3v4-phase29b-parc-release-full-0014,mattergen_pilot_5k_3gpu_00617,PARC-release-full,Y5 Tm1 Se6,12,Se|Tm|Y,outputs/milestones/mattergen_parc_prospective_dft_followup/A3_QE_LOCAL_RUN/qe_inputs/a3v4-phase29b-parc-release-full-0014/pw.vc-relax.in,outputs/milestones/mattergen_parc_prospective_dft_followup/A3_QE_LOCAL_RUN/qe_outputs/a3v4-phase29b-parc-release-full-0014,4 4 4,60,480,Se_pbe_v1.uspp.F.UPF|Tm.GGA-PBE-paw-v1.0.UPF|Y_pbe_v1.uspp.F.UPF,fcb1fe6e9c54d43fd3537f1103b9003ba92975e80c0a0214b21d1bf4abb494c8|219d7ba1e216b5f8101468aad272e3db75eb813efc546acbe8844147c22498ee|5be8c6f04a4624425acd919bf34103b4498606638e23b0adb6386ce4f6fc86fc,pw.x,mpirun.openmpi,True,False,False,local_QE_input_deck_only_no_DFT_outcome
a3v4-phase29b-parc-release-full-0015,mattergen_pilot_5k_3gpu_02532,PARC-release-full,Ho2 Zr1 Ti1 O7,11,Ho|O|Ti|Zr,outputs/milestones/mattergen_parc_prospective_dft_followup/A3_QE_LOCAL_RUN/qe_inputs/a3v4-phase29b-parc-release-full-0015/pw.vc-relax.in,outputs/milestones/mattergen_parc_prospective_dft_followup/A3_QE_LOCAL_RUN/qe_outputs/a3v4-phase29b-parc-release-full-0015,5 5 4,60,480,Ho.GGA-PBE-paw-v1.0.UPF|O.pbe-n-kjpaw_psl.0.1.UPF|ti_pbe_v1.4.uspp.F.UPF|Zr_pbe_v1.uspp.F.UPF,f7c5151fcd9f62b8dfdb20d9b685f373cafe5ac0163636bf53e8df31935a919b|7c4b6ed541f83d0afdf5c1d3a8c611340f073f3e2b11e95b7963bb2ee26929aa|747afa52fa17dc061e9eff72bcea534e81ffa5a4a5d33af3eb8fc9f1b3aee580|d56e2997788a4b3d90bb829416161ff9eb6ccdfe377cb52acfbdd2175f4b4acf,pw.x,mpirun.openmpi,True,False,False,local_QE_input_deck_only_no_DFT_outcome
a3v4-phase29b-parc-release-full-0016,mattergen_pilot_5k_3gpu_02616,PARC-release-full,Sm1 Ta1 Al1 O6,9,Al|O|Sm|Ta,outputs/milestones/mattergen_parc_prospective_dft_followup/A3_QE_LOCAL_RUN/qe_inputs/a3v4-phase29b-parc-release-full-0016/pw.vc-relax.in,outputs/milestones/mattergen_parc_prospective_dft_followup/A3_QE_LOCAL_RUN/qe_outputs/a3v4-phase29b-parc-release-full-0016,5 5 5,60,480,Al.pbe-n-kjpaw_psl.1.0.0.UPF|O.pbe-n-kjpaw_psl.0.1.UPF|Sm.GGA-PBE-paw-v1.0.UPF|Ta_pbe_v1.uspp.F.UPF,fd7b78921e6d0939095b681c328732668eaefd1dee6882fdbc03be463550cc97|7c4b6ed541f83d0afdf5c1d3a8c611340f073f3e2b11e95b7963bb2ee26929aa|546386422d6cd3d5eea8e28282cd08901f34da134914fbe32115451ef94bc075|e0850b94d7007d47691d131db1fa5ffdaaa6f6a573c1ebf1fb425e46ed891ee1,pw.x,mpirun.openmpi,True,False,False,local_QE_input_deck_only_no_DFT_outcome
a3v4-phase29b-parc-release-full-0017,mattergen_pilot_5k_3gpu_02280,PARC-release-full,Ce1 Y12 In5,18,Ce|In|Y,outputs/milestones/mattergen_parc_prospective_dft_followup/A3_QE_LOCAL_RUN/qe_inputs/a3v4-phase29b-parc-release-full-0017/pw.vc-relax.in,outputs/milestones/mattergen_parc_prospective_dft_followup/A3_QE_LOCAL_RUN/qe_outputs/a3v4-phase29b-parc-release-full-0017,4 3 3,60,480,Ce.GGA-PBE-paw-v1.0.UPF|In.pbe-dn-rrkjus_psl.0.2.2.UPF|Y_pbe_v1.uspp.F.UPF,2682b4bd433cbd14b97dd0e7f803271508ae07d9b1d256c8d759bdd7c3280ca0|ac76860606654bf63d2950129329ee50267d50ad92296728a7d42e9355bcfb39|5be8c6f04a4624425acd919bf34103b4498606638e23b0adb6386ce4f6fc86fc,pw.x,mpirun.openmpi,True,False,False,local_QE_input_deck_only_no_DFT_outcome
a3v4-phase29b-parc-release-full-0018,mattergen_pilot_5k_3gpu_03350,PARC-release-full,Mg2 Cr4 O8,14,Cr|Mg|O,outputs/milestones/mattergen_parc_prospective_dft_followup/A3_QE_LOCAL_RUN/qe_inputs/a3v4-phase29b-parc-release-full-0018/pw.vc-relax.in,outputs/milestones/mattergen_parc_prospective_dft_followup/A3_QE_LOCAL_RUN/qe_outputs/a3v4-phase29b-parc-release-full-0018,6 3 3,60,480,cr_pbe_v1.5.uspp.F.UPF|Mg.pbe-n-kjpaw_psl.0.3.0.UPF|O.pbe-n-kjpaw_psl.0.1.UPF,c7449bbfea358d76832cf2f7b43dc89101ead6891806773121bfaa93a140f6de|f057a22e5d8484686a1b3fe3724aa01af4236fe8a845e5c2f772c472f107639f|7c4b6ed541f83d0afdf5c1d3a8c611340f073f3e2b11e95b7963bb2ee26929aa,pw.x,mpirun.openmpi,True,False,False,local_QE_input_deck_only_no_DFT_outcome
a3v4-phase29b-parc-release-full-0019,mattergen_pilot_5k_3gpu_00015,PARC-release-full,La1 Ta2 Re1 O10,14,La|O|Re|Ta,outputs/milestones/mattergen_parc_prospective_dft_followup/A3_QE_LOCAL_RUN/qe_inputs/a3v4-phase29b-parc-release-full-0019/pw.vc-relax.in,outputs/milestones/mattergen_parc_prospective_dft_followup/A3_QE_LOCAL_RUN/qe_outputs/a3v4-phase29b-parc-release-full-0019,4 4 3,60,480,La.GGA-PBE-paw-v1.0.UPF|O.pbe-n-kjpaw_psl.0.1.UPF|Re_pbe_v1.2.uspp.F.UPF|Ta_pbe_v1.uspp.F.UPF,9835d28fe2426d776537e131054c70beab37acd4df609ad2df4229e8ee82a12c|7c4b6ed541f83d0afdf5c1d3a8c611340f073f3e2b11e95b7963bb2ee26929aa|61146e72676c25b08fce566316216ce8c1e4ec1317f418513daf36e6e52a65eb|e0850b94d7007d47691d131db1fa5ffdaaa6f6a573c1ebf1fb425e46ed891ee1,pw.x,mpirun.openmpi,True,False,False,local_QE_input_deck_only_no_DFT_outcome
a3v4-phase29b-parc-release-full-0020,mattergen_pilot_5k_3gpu_02732,PARC-release-full,Ta3 Mo5,8,Mo|Ta,outputs/milestones/mattergen_parc_prospective_dft_followup/A3_QE_LOCAL_RUN/qe_inputs/a3v4-phase29b-parc-release-full-0020/pw.vc-relax.in,outputs/milestones/mattergen_parc_prospective_dft_followup/A3_QE_LOCAL_RUN/qe_outputs/a3v4-phase29b-parc-release-full-0020,5 5 4,60,480,Mo_ONCV_PBE-1.0.oncvpsp.upf|Ta_pbe_v1.uspp.F.UPF,bf2bf79aec40a5e0f0b390faabb4be1a33829e8e25d28040e01a08f0ab1dcb03|e0850b94d7007d47691d131db1fa5ffdaaa6f6a573c1ebf1fb425e46ed891ee1,pw.x,mpirun.openmpi,True,False,False,local_QE_input_deck_only_no_DFT_outcome
