dft_job_id,candidate_id,arm,formula,n_sites,elements,qe_input_path,qe_output_dir,kpoints_grid,ecutwfc_ry,ecutrho_ry,pseudo_files,pseudo_sha256,pw_x,mpirun,selected_before_DFT_outcome,outcome_available,completed_positive_result,claim_scope
a3v4-phase29b-parc-release-full-0021,mattergen_pilot_5k_3gpu_01167,PARC-release-full,Y7 Er1 Sc2,10,Er|Sc|Y,outputs/milestones/mattergen_parc_prospective_dft_followup/A3_QE_LOCAL_RUN/qe_inputs/a3v4-phase29b-parc-release-full-0021/pw.vc-relax.in,outputs/milestones/mattergen_parc_prospective_dft_followup/A3_QE_LOCAL_RUN/qe_outputs/a3v4-phase29b-parc-release-full-0021,5 4 3,60,480,Er.GGA-PBE-paw-v1.0.UPF|Sc_ONCV_PBE-1.0.oncvpsp.upf|Y_pbe_v1.uspp.F.UPF,da574f4bdcf21b3eaaea796a61ec2d15800de1244b2e05f58070c538d5a5bc1d|60775605c9d2ea22ab38f061d8ef6421bb0e8ec71f0de4d7ea24a1e0936b702b|5be8c6f04a4624425acd919bf34103b4498606638e23b0adb6386ce4f6fc86fc,pw.x,mpirun.openmpi,True,False,False,local_QE_input_deck_only_no_DFT_outcome
a3v4-phase29b-parc-release-full-0022,mattergen_pilot_5k_3gpu_01348,PARC-release-full,Tm6 Ta1 O12,19,O|Ta|Tm,outputs/milestones/mattergen_parc_prospective_dft_followup/A3_QE_LOCAL_RUN/qe_inputs/a3v4-phase29b-parc-release-full-0022/pw.vc-relax.in,outputs/milestones/mattergen_parc_prospective_dft_followup/A3_QE_LOCAL_RUN/qe_outputs/a3v4-phase29b-parc-release-full-0022,4 4 3,60,480,O.pbe-n-kjpaw_psl.0.1.UPF|Ta_pbe_v1.uspp.F.UPF|Tm.GGA-PBE-paw-v1.0.UPF,7c4b6ed541f83d0afdf5c1d3a8c611340f073f3e2b11e95b7963bb2ee26929aa|e0850b94d7007d47691d131db1fa5ffdaaa6f6a573c1ebf1fb425e46ed891ee1|219d7ba1e216b5f8101468aad272e3db75eb813efc546acbe8844147c22498ee,pw.x,mpirun.openmpi,True,False,False,local_QE_input_deck_only_no_DFT_outcome
a3v4-phase29b-parc-release-full-0023,mattergen_pilot_5k_3gpu_03961,PARC-release-full,Ta2 Pd2 Ru2,6,Pd|Ru|Ta,outputs/milestones/mattergen_parc_prospective_dft_followup/A3_QE_LOCAL_RUN/qe_inputs/a3v4-phase29b-parc-release-full-0023/pw.vc-relax.in,outputs/milestones/mattergen_parc_prospective_dft_followup/A3_QE_LOCAL_RUN/qe_outputs/a3v4-phase29b-parc-release-full-0023,6 6 3,60,480,Pd_ONCV_PBE-1.0.oncvpsp.upf|Ru_ONCV_PBE-1.0.oncvpsp.upf|Ta_pbe_v1.uspp.F.UPF,ef259baba5cf16c89389729e960cfb851e4cba656aef62fd8bf1a93de2124020|b9e3df964a103d42e34c2027028361cb6592bdb0bff60275bbaa48c5eaf2adff|e0850b94d7007d47691d131db1fa5ffdaaa6f6a573c1ebf1fb425e46ed891ee1,pw.x,mpirun.openmpi,True,False,False,local_QE_input_deck_only_no_DFT_outcome
a3v4-phase29b-parc-release-full-0024,mattergen_pilot_5k_3gpu_02736,PARC-release-full,Ca2 Ta4 Nb1 N8,15,Ca|N|Nb|Ta,outputs/milestones/mattergen_parc_prospective_dft_followup/A3_QE_LOCAL_RUN/qe_inputs/a3v4-phase29b-parc-release-full-0024/pw.vc-relax.in,outputs/milestones/mattergen_parc_prospective_dft_followup/A3_QE_LOCAL_RUN/qe_outputs/a3v4-phase29b-parc-release-full-0024,4 4 4,60,480,Ca_pbe_v1.uspp.F.UPF|N.pbe-n-radius_5.UPF|Nb.pbe-spn-kjpaw_psl.0.3.0.UPF|Ta_pbe_v1.uspp.F.UPF,5887acb75823f7f92df1b3117fece4e43498cafccaaaf9cfa653615af1a20d6e|9efee6eb6465c9020af3c8f395fa837810e8f1263ac6cfd52e437a170f8f6e9a|ccf07218ea34daaa63ff57d9f44ca8b4b529728cccbc8f74dd5fc804ac01e48e|e0850b94d7007d47691d131db1fa5ffdaaa6f6a573c1ebf1fb425e46ed891ee1,pw.x,mpirun.openmpi,True,False,False,local_QE_input_deck_only_no_DFT_outcome
a3v4-phase29b-parc-release-full-0025,mattergen_pilot_5k_3gpu_03017,PARC-release-full,Y6 Ho2 C4,12,C|Ho|Y,outputs/milestones/mattergen_parc_prospective_dft_followup/A3_QE_LOCAL_RUN/qe_inputs/a3v4-phase29b-parc-release-full-0025/pw.vc-relax.in,outputs/milestones/mattergen_parc_prospective_dft_followup/A3_QE_LOCAL_RUN/qe_outputs/a3v4-phase29b-parc-release-full-0025,6 4 2,60,480,C.pbe-n-kjpaw_psl.1.0.0.UPF|Ho.GGA-PBE-paw-v1.0.UPF|Y_pbe_v1.uspp.F.UPF,9900d1efd50b9848e31849f39094b33348486b400ee51e0f3922f716137cf3d7|f7c5151fcd9f62b8dfdb20d9b685f373cafe5ac0163636bf53e8df31935a919b|5be8c6f04a4624425acd919bf34103b4498606638e23b0adb6386ce4f6fc86fc,pw.x,mpirun.openmpi,True,False,False,local_QE_input_deck_only_no_DFT_outcome
a3v4-phase29b-parc-release-full-0026,mattergen_pilot_5k_3gpu_00053,PARC-release-full,Y4 Zn1 Ir2,7,Ir|Y|Zn,outputs/milestones/mattergen_parc_prospective_dft_followup/A3_QE_LOCAL_RUN/qe_inputs/a3v4-phase29b-parc-release-full-0026/pw.vc-relax.in,outputs/milestones/mattergen_parc_prospective_dft_followup/A3_QE_LOCAL_RUN/qe_outputs/a3v4-phase29b-parc-release-full-0026,5 5 2,60,480,Ir_pbe_v1.2.uspp.F.UPF|Y_pbe_v1.uspp.F.UPF|Zn_pbe_v1.uspp.F.UPF,7fb680571391e90cc59b343841d65f69fbf47382191c6fc511717f0e0b689e03|5be8c6f04a4624425acd919bf34103b4498606638e23b0adb6386ce4f6fc86fc|7710c776159022cdfa14188f04942712811d9a24ad0e74db5ce7c3bdfb95dbbf,pw.x,mpirun.openmpi,True,False,False,local_QE_input_deck_only_no_DFT_outcome
a3v4-phase29b-parc-release-full-0027,mattergen_pilot_5k_3gpu_03034,PARC-release-full,Y8 Bi4 C2,14,Bi|C|Y,outputs/milestones/mattergen_parc_prospective_dft_followup/A3_QE_LOCAL_RUN/qe_inputs/a3v4-phase29b-parc-release-full-0027/pw.vc-relax.in,outputs/milestones/mattergen_parc_prospective_dft_followup/A3_QE_LOCAL_RUN/qe_outputs/a3v4-phase29b-parc-release-full-0027,6 3 2,60,480,Bi_pbe_v1.uspp.F.UPF|C.pbe-n-kjpaw_psl.1.0.0.UPF|Y_pbe_v1.uspp.F.UPF,56e4e097a6b5a74149ba3b3bb75c03f2b022b509f53767143653dcd7b079e97d|9900d1efd50b9848e31849f39094b33348486b400ee51e0f3922f716137cf3d7|5be8c6f04a4624425acd919bf34103b4498606638e23b0adb6386ce4f6fc86fc,pw.x,mpirun.openmpi,True,False,False,local_QE_input_deck_only_no_DFT_outcome
a3v4-phase29b-parc-release-full-0028,mattergen_pilot_5k_3gpu_03634,PARC-release-full,Y9 Ga5 Sn2,16,Ga|Sn|Y,outputs/milestones/mattergen_parc_prospective_dft_followup/A3_QE_LOCAL_RUN/qe_inputs/a3v4-phase29b-parc-release-full-0028/pw.vc-relax.in,outputs/milestones/mattergen_parc_prospective_dft_followup/A3_QE_LOCAL_RUN/qe_outputs/a3v4-phase29b-parc-release-full-0028,3 3 3,60,480,Ga.pbe-dn-kjpaw_psl.1.0.0.UPF|Sn_pbe_v1.uspp.F.UPF|Y_pbe_v1.uspp.F.UPF,cf8a2be9b30552dd9bb12304d2aa96978e5d10636ca562b42d5a37dc385acd15|2985a215143f6458f0a627315a843123d534bff482dc09b40415af4605359431|5be8c6f04a4624425acd919bf34103b4498606638e23b0adb6386ce4f6fc86fc,pw.x,mpirun.openmpi,True,False,False,local_QE_input_deck_only_no_DFT_outcome
a3v4-phase29b-parc-release-full-0029,mattergen_pilot_5k_3gpu_04560,PARC-release-full,Y3 Er1 N4,8,Er|N|Y,outputs/milestones/mattergen_parc_prospective_dft_followup/A3_QE_LOCAL_RUN/qe_inputs/a3v4-phase29b-parc-release-full-0029/pw.vc-relax.in,outputs/milestones/mattergen_parc_prospective_dft_followup/A3_QE_LOCAL_RUN/qe_outputs/a3v4-phase29b-parc-release-full-0029,6 4 4,60,480,Er.GGA-PBE-paw-v1.0.UPF|N.pbe-n-radius_5.UPF|Y_pbe_v1.uspp.F.UPF,da574f4bdcf21b3eaaea796a61ec2d15800de1244b2e05f58070c538d5a5bc1d|9efee6eb6465c9020af3c8f395fa837810e8f1263ac6cfd52e437a170f8f6e9a|5be8c6f04a4624425acd919bf34103b4498606638e23b0adb6386ce4f6fc86fc,pw.x,mpirun.openmpi,True,False,False,local_QE_input_deck_only_no_DFT_outcome
a3v4-phase29b-parc-release-full-0030,mattergen_pilot_5k_3gpu_04183,PARC-release-full,Ta2 Nb2 W2,6,Nb|Ta|W,outputs/milestones/mattergen_parc_prospective_dft_followup/A3_QE_LOCAL_RUN/qe_inputs/a3v4-phase29b-parc-release-full-0030/pw.vc-relax.in,outputs/milestones/mattergen_parc_prospective_dft_followup/A3_QE_LOCAL_RUN/qe_outputs/a3v4-phase29b-parc-release-full-0030,5 5 4,60,480,Nb.pbe-spn-kjpaw_psl.0.3.0.UPF|Ta_pbe_v1.uspp.F.UPF|W_pbe_v1.2.uspp.F.UPF,ccf07218ea34daaa63ff57d9f44ca8b4b529728cccbc8f74dd5fc804ac01e48e|e0850b94d7007d47691d131db1fa5ffdaaa6f6a573c1ebf1fb425e46ed891ee1|3cb024d05ba2413340c9e993bc149bf94d44fb23e609642466d87ca30c88c569,pw.x,mpirun.openmpi,True,False,False,local_QE_input_deck_only_no_DFT_outcome
a3v4-phase29b-parc-release-full-0031,mattergen_pilot_5k_3gpu_03054,PARC-release-full,Na1 Y5 Tl2,8,Na|Tl|Y,outputs/milestones/mattergen_parc_prospective_dft_followup/A3_QE_LOCAL_RUN/qe_inputs/a3v4-phase29b-parc-release-full-0031/pw.vc-relax.in,outputs/milestones/mattergen_parc_prospective_dft_followup/A3_QE_LOCAL_RUN/qe_outputs/a3v4-phase29b-parc-release-full-0031,5 5 3,60,480,na_pbe_v1.5.uspp.F.UPF|Tl_pbe_v1.2.uspp.F.UPF|Y_pbe_v1.uspp.F.UPF,f84820c4280d21603bd50ae76a08e15c26864391ea055cf50affc4aedefc8f87|018619075345aa953f960db6fbb6d7bba035adf76a8b210d57179489d14b1be2|5be8c6f04a4624425acd919bf34103b4498606638e23b0adb6386ce4f6fc86fc,pw.x,mpirun.openmpi,True,False,False,local_QE_input_deck_only_no_DFT_outcome
a3v4-phase29b-parc-release-full-0032,mattergen_pilot_5k_3gpu_04321,PARC-release-full,Ca1 Ho2 Ta1 N4,8,Ca|Ho|N|Ta,outputs/milestones/mattergen_parc_prospective_dft_followup/A3_QE_LOCAL_RUN/qe_inputs/a3v4-phase29b-parc-release-full-0032/pw.vc-relax.in,outputs/milestones/mattergen_parc_prospective_dft_followup/A3_QE_LOCAL_RUN/qe_outputs/a3v4-phase29b-parc-release-full-0032,5 5 4,60,480,Ca_pbe_v1.uspp.F.UPF|Ho.GGA-PBE-paw-v1.0.UPF|N.pbe-n-radius_5.UPF|Ta_pbe_v1.uspp.F.UPF,5887acb75823f7f92df1b3117fece4e43498cafccaaaf9cfa653615af1a20d6e|f7c5151fcd9f62b8dfdb20d9b685f373cafe5ac0163636bf53e8df31935a919b|9efee6eb6465c9020af3c8f395fa837810e8f1263ac6cfd52e437a170f8f6e9a|e0850b94d7007d47691d131db1fa5ffdaaa6f6a573c1ebf1fb425e46ed891ee1,pw.x,mpirun.openmpi,True,False,False,local_QE_input_deck_only_no_DFT_outcome
a3v4-phase29b-parc-release-full-0033,mattergen_pilot_5k_3gpu_00138,PARC-release-full,Y6 Te2 Pb4,12,Pb|Te|Y,outputs/milestones/mattergen_parc_prospective_dft_followup/A3_QE_LOCAL_RUN/qe_inputs/a3v4-phase29b-parc-release-full-0033/pw.vc-relax.in,outputs/milestones/mattergen_parc_prospective_dft_followup/A3_QE_LOCAL_RUN/qe_outputs/a3v4-phase29b-parc-release-full-0033,3 3 3,60,480,Pb.pbe-dn-kjpaw_psl.0.2.2.UPF|Te_pbe_v1.uspp.F.UPF|Y_pbe_v1.uspp.F.UPF,b67ab5c757bc89933ccd96deecdf3b629c72783a38b6c23d78457e4abb61219d|5f18f14282ab78c660a46a08ed8787a1247036c7509b7c0436d8441faf497e36|5be8c6f04a4624425acd919bf34103b4498606638e23b0adb6386ce4f6fc86fc,pw.x,mpirun.openmpi,True,False,False,local_QE_input_deck_only_no_DFT_outcome
a3v4-phase29b-parc-release-full-0034,mattergen_pilot_5k_3gpu_02142,PARC-release-full,Li1 Cr1 O2,4,Cr|Li|O,outputs/milestones/mattergen_parc_prospective_dft_followup/A3_QE_LOCAL_RUN/qe_inputs/a3v4-phase29b-parc-release-full-0034/pw.vc-relax.in,outputs/milestones/mattergen_parc_prospective_dft_followup/A3_QE_LOCAL_RUN/qe_outputs/a3v4-phase29b-parc-release-full-0034,6 6 6,60,480,cr_pbe_v1.5.uspp.F.UPF|li_pbe_v1.4.uspp.F.UPF|O.pbe-n-kjpaw_psl.0.1.UPF,c7449bbfea358d76832cf2f7b43dc89101ead6891806773121bfaa93a140f6de|02cc4b3810e28a43b570277840d9631ca24f634d922928200c047b72c0a86bf5|7c4b6ed541f83d0afdf5c1d3a8c611340f073f3e2b11e95b7963bb2ee26929aa,pw.x,mpirun.openmpi,True,False,False,local_QE_input_deck_only_no_DFT_outcome
a3v4-phase29b-parc-release-full-0035,mattergen_pilot_5k_3gpu_00682,PARC-release-full,Cs1 Ba1 Ta1 Nb1 O7,11,Ba|Cs|Nb|O|Ta,outputs/milestones/mattergen_parc_prospective_dft_followup/A3_QE_LOCAL_RUN/qe_inputs/a3v4-phase29b-parc-release-full-0035/pw.vc-relax.in,outputs/milestones/mattergen_parc_prospective_dft_followup/A3_QE_LOCAL_RUN/qe_outputs/a3v4-phase29b-parc-release-full-0035,6 6 2,60,480,Ba.pbe-spn-kjpaw_psl.1.0.0.UPF|Cs_pbe_v1.uspp.F.UPF|Nb.pbe-spn-kjpaw_psl.0.3.0.UPF|O.pbe-n-kjpaw_psl.0.1.UPF|Ta_pbe_v1.uspp.F.UPF,315a2af416c5906cdff071f5f8e59cfdff912f3c488be1be2cb2f1a044ec7c64|5039c3123828de0c626459254b67b6637225866dd81d5ee1d855e26f99d3ac2c|ccf07218ea34daaa63ff57d9f44ca8b4b529728cccbc8f74dd5fc804ac01e48e|7c4b6ed541f83d0afdf5c1d3a8c611340f073f3e2b11e95b7963bb2ee26929aa|e0850b94d7007d47691d131db1fa5ffdaaa6f6a573c1ebf1fb425e46ed891ee1,pw.x,mpirun.openmpi,True,False,False,local_QE_input_deck_only_no_DFT_outcome
a3v4-phase29b-parc-release-full-0036,mattergen_pilot_5k_3gpu_02746,PARC-release-full,Ta2 Cu2 Ni2,6,Cu|Ni|Ta,outputs/milestones/mattergen_parc_prospective_dft_followup/A3_QE_LOCAL_RUN/qe_inputs/a3v4-phase29b-parc-release-full-0036/pw.vc-relax.in,outputs/milestones/mattergen_parc_prospective_dft_followup/A3_QE_LOCAL_RUN/qe_outputs/a3v4-phase29b-parc-release-full-0036,6 6 5,60,480,Cu_pbe_v1.2.uspp.F.UPF|ni_pbe_v1.4.uspp.F.UPF|Ta_pbe_v1.uspp.F.UPF,9dede247b34c656925badd5241675d0ad77e199249917cd4a927bf0a2e2ab004|f76b86ce60cde3d83dfcc8df79ba05478db573d158289f1b226919442d977d25|e0850b94d7007d47691d131db1fa5ffdaaa6f6a573c1ebf1fb425e46ed891ee1,pw.x,mpirun.openmpi,True,False,False,local_QE_input_deck_only_no_DFT_outcome
a3v4-phase29b-parc-release-full-0037,mattergen_pilot_5k_3gpu_01844,PARC-release-full,Cs3 Cr2 F10,15,Cr|Cs|F,outputs/milestones/mattergen_parc_prospective_dft_followup/A3_QE_LOCAL_RUN/qe_inputs/a3v4-phase29b-parc-release-full-0037/pw.vc-relax.in,outputs/milestones/mattergen_parc_prospective_dft_followup/A3_QE_LOCAL_RUN/qe_outputs/a3v4-phase29b-parc-release-full-0037,3 4 4,60,480,cr_pbe_v1.5.uspp.F.UPF|Cs_pbe_v1.uspp.F.UPF|f_pbe_v1.4.uspp.F.UPF,c7449bbfea358d76832cf2f7b43dc89101ead6891806773121bfaa93a140f6de|5039c3123828de0c626459254b67b6637225866dd81d5ee1d855e26f99d3ac2c|9802dd8e5c30fe92ff0a8dc0865f4fb9023d6a3a42caccdd33c0de6de83d0883,pw.x,mpirun.openmpi,True,False,False,local_QE_input_deck_only_no_DFT_outcome
a3v4-phase29b-parc-release-full-0038,mattergen_pilot_5k_3gpu_01472,PARC-release-full,Tm1 Ta1 Al2 O8,12,Al|O|Ta|Tm,outputs/milestones/mattergen_parc_prospective_dft_followup/A3_QE_LOCAL_RUN/qe_inputs/a3v4-phase29b-parc-release-full-0038/pw.vc-relax.in,outputs/milestones/mattergen_parc_prospective_dft_followup/A3_QE_LOCAL_RUN/qe_outputs/a3v4-phase29b-parc-release-full-0038,5 5 4,60,480,Al.pbe-n-kjpaw_psl.1.0.0.UPF|O.pbe-n-kjpaw_psl.0.1.UPF|Ta_pbe_v1.uspp.F.UPF|Tm.GGA-PBE-paw-v1.0.UPF,fd7b78921e6d0939095b681c328732668eaefd1dee6882fdbc03be463550cc97|7c4b6ed541f83d0afdf5c1d3a8c611340f073f3e2b11e95b7963bb2ee26929aa|e0850b94d7007d47691d131db1fa5ffdaaa6f6a573c1ebf1fb425e46ed891ee1|219d7ba1e216b5f8101468aad272e3db75eb813efc546acbe8844147c22498ee,pw.x,mpirun.openmpi,True,False,False,local_QE_input_deck_only_no_DFT_outcome
a3v4-phase29b-parc-release-full-0039,mattergen_pilot_5k_3gpu_00729,PARC-release-full,Y6 Ho2 Tm2 Mg2,12,Ho|Mg|Tm|Y,outputs/milestones/mattergen_parc_prospective_dft_followup/A3_QE_LOCAL_RUN/qe_inputs/a3v4-phase29b-parc-release-full-0039/pw.vc-relax.in,outputs/milestones/mattergen_parc_prospective_dft_followup/A3_QE_LOCAL_RUN/qe_outputs/a3v4-phase29b-parc-release-full-0039,4 4 3,60,480,Ho.GGA-PBE-paw-v1.0.UPF|Mg.pbe-n-kjpaw_psl.0.3.0.UPF|Tm.GGA-PBE-paw-v1.0.UPF|Y_pbe_v1.uspp.F.UPF,f7c5151fcd9f62b8dfdb20d9b685f373cafe5ac0163636bf53e8df31935a919b|f057a22e5d8484686a1b3fe3724aa01af4236fe8a845e5c2f772c472f107639f|219d7ba1e216b5f8101468aad272e3db75eb813efc546acbe8844147c22498ee|5be8c6f04a4624425acd919bf34103b4498606638e23b0adb6386ce4f6fc86fc,pw.x,mpirun.openmpi,True,False,False,local_QE_input_deck_only_no_DFT_outcome
a3v4-phase29b-parc-release-full-0040,mattergen_pilot_5k_3gpu_00981,PARC-release-full,Y4 Tm1 Cd1 S8,14,Cd|S|Tm|Y,outputs/milestones/mattergen_parc_prospective_dft_followup/A3_QE_LOCAL_RUN/qe_inputs/a3v4-phase29b-parc-release-full-0040/pw.vc-relax.in,outputs/milestones/mattergen_parc_prospective_dft_followup/A3_QE_LOCAL_RUN/qe_outputs/a3v4-phase29b-parc-release-full-0040,3 3 3,60,480,Cd.pbe-dn-rrkjus_psl.0.3.1.UPF|s_pbe_v1.4.uspp.F.UPF|Tm.GGA-PBE-paw-v1.0.UPF|Y_pbe_v1.uspp.F.UPF,eb5553c18543c409454926825f7653c985cd40a24993a26d37a913d6f4d40b8c|84ad731864187f416f714e961c3ad2f04dcbf811618e724d277885c18cb470df|219d7ba1e216b5f8101468aad272e3db75eb813efc546acbe8844147c22498ee|5be8c6f04a4624425acd919bf34103b4498606638e23b0adb6386ce4f6fc86fc,pw.x,mpirun.openmpi,True,False,False,local_QE_input_deck_only_no_DFT_outcome
a3v4-phase29b-parc-release-full-0041,mattergen_pilot_5k_3gpu_00537,PARC-release-full,La1 Tb1 Y5 Sc1,8,La|Sc|Tb|Y,outputs/milestones/mattergen_parc_prospective_dft_followup/A3_QE_LOCAL_RUN/qe_inputs/a3v4-phase29b-parc-release-full-0041/pw.vc-relax.in,outputs/milestones/mattergen_parc_prospective_dft_followup/A3_QE_LOCAL_RUN/qe_outputs/a3v4-phase29b-parc-release-full-0041,5 5 2,60,480,La.GGA-PBE-paw-v1.0.UPF|Sc_ONCV_PBE-1.0.oncvpsp.upf|Tb.GGA-PBE-paw-v1.0.UPF|Y_pbe_v1.uspp.F.UPF,9835d28fe2426d776537e131054c70beab37acd4df609ad2df4229e8ee82a12c|60775605c9d2ea22ab38f061d8ef6421bb0e8ec71f0de4d7ea24a1e0936b702b|cde673681d993b83b0a65e3945537e1c4ec61bbfee3c4b0a432f2fb38bbeb478|5be8c6f04a4624425acd919bf34103b4498606638e23b0adb6386ce4f6fc86fc,pw.x,mpirun.openmpi,True,False,False,local_QE_input_deck_only_no_DFT_outcome
a3v4-phase29b-parc-release-full-0042,mattergen_pilot_5k_3gpu_02054,PARC-release-full,Cr2 Ni1 Ru1 N1,5,Cr|N|Ni|Ru,outputs/milestones/mattergen_parc_prospective_dft_followup/A3_QE_LOCAL_RUN/qe_inputs/a3v4-phase29b-parc-release-full-0042/pw.vc-relax.in,outputs/milestones/mattergen_parc_prospective_dft_followup/A3_QE_LOCAL_RUN/qe_outputs/a3v4-phase29b-parc-release-full-0042,6 6 6,60,480,cr_pbe_v1.5.uspp.F.UPF|N.pbe-n-radius_5.UPF|ni_pbe_v1.4.uspp.F.UPF|Ru_ONCV_PBE-1.0.oncvpsp.upf,c7449bbfea358d76832cf2f7b43dc89101ead6891806773121bfaa93a140f6de|9efee6eb6465c9020af3c8f395fa837810e8f1263ac6cfd52e437a170f8f6e9a|f76b86ce60cde3d83dfcc8df79ba05478db573d158289f1b226919442d977d25|b9e3df964a103d42e34c2027028361cb6592bdb0bff60275bbaa48c5eaf2adff,pw.x,mpirun.openmpi,True,False,False,local_QE_input_deck_only_no_DFT_outcome
a3v4-phase29b-parc-release-full-0043,mattergen_pilot_5k_3gpu_02053,PARC-release-full,Cs2 Sr1 Sm3 F12,18,Cs|F|Sm|Sr,outputs/milestones/mattergen_parc_prospective_dft_followup/A3_QE_LOCAL_RUN/qe_inputs/a3v4-phase29b-parc-release-full-0043/pw.vc-relax.in,outputs/milestones/mattergen_parc_prospective_dft_followup/A3_QE_LOCAL_RUN/qe_outputs/a3v4-phase29b-parc-release-full-0043,3 3 3,60,480,Cs_pbe_v1.uspp.F.UPF|f_pbe_v1.4.uspp.F.UPF|Sm.GGA-PBE-paw-v1.0.UPF|Sr_pbe_v1.uspp.F.UPF,5039c3123828de0c626459254b67b6637225866dd81d5ee1d855e26f99d3ac2c|9802dd8e5c30fe92ff0a8dc0865f4fb9023d6a3a42caccdd33c0de6de83d0883|546386422d6cd3d5eea8e28282cd08901f34da134914fbe32115451ef94bc075|292f7f1da5cae4b18da817ab2e82943ad90e74f267a06a6172db8dbcb6edf0ce,pw.x,mpirun.openmpi,True,False,False,local_QE_input_deck_only_no_DFT_outcome
a3v4-phase29b-parc-release-full-0044,mattergen_pilot_5k_3gpu_01841,PARC-release-full,Ta3 Ti2 Mo4,9,Mo|Ta|Ti,outputs/milestones/mattergen_parc_prospective_dft_followup/A3_QE_LOCAL_RUN/qe_inputs/a3v4-phase29b-parc-release-full-0044/pw.vc-relax.in,outputs/milestones/mattergen_parc_prospective_dft_followup/A3_QE_LOCAL_RUN/qe_outputs/a3v4-phase29b-parc-release-full-0044,6 3 3,60,480,Mo_ONCV_PBE-1.0.oncvpsp.upf|Ta_pbe_v1.uspp.F.UPF|ti_pbe_v1.4.uspp.F.UPF,bf2bf79aec40a5e0f0b390faabb4be1a33829e8e25d28040e01a08f0ab1dcb03|e0850b94d7007d47691d131db1fa5ffdaaa6f6a573c1ebf1fb425e46ed891ee1|747afa52fa17dc061e9eff72bcea534e81ffa5a4a5d33af3eb8fc9f1b3aee580,pw.x,mpirun.openmpi,True,False,False,local_QE_input_deck_only_no_DFT_outcome
a3v4-phase29b-parc-release-full-0045,mattergen_pilot_5k_3gpu_01919,PARC-release-full,Er5 Sc3 O12,20,Er|O|Sc,outputs/milestones/mattergen_parc_prospective_dft_followup/A3_QE_LOCAL_RUN/qe_inputs/a3v4-phase29b-parc-release-full-0045/pw.vc-relax.in,outputs/milestones/mattergen_parc_prospective_dft_followup/A3_QE_LOCAL_RUN/qe_outputs/a3v4-phase29b-parc-release-full-0045,5 4 4,60,480,Er.GGA-PBE-paw-v1.0.UPF|O.pbe-n-kjpaw_psl.0.1.UPF|Sc_ONCV_PBE-1.0.oncvpsp.upf,da574f4bdcf21b3eaaea796a61ec2d15800de1244b2e05f58070c538d5a5bc1d|7c4b6ed541f83d0afdf5c1d3a8c611340f073f3e2b11e95b7963bb2ee26929aa|60775605c9d2ea22ab38f061d8ef6421bb0e8ec71f0de4d7ea24a1e0936b702b,pw.x,mpirun.openmpi,True,False,False,local_QE_input_deck_only_no_DFT_outcome
a3v4-phase29b-parc-release-full-0046,mattergen_pilot_5k_3gpu_03442,PARC-release-full,Y5 Tl3 Hg1,9,Hg|Tl|Y,outputs/milestones/mattergen_parc_prospective_dft_followup/A3_QE_LOCAL_RUN/qe_inputs/a3v4-phase29b-parc-release-full-0046/pw.vc-relax.in,outputs/milestones/mattergen_parc_prospective_dft_followup/A3_QE_LOCAL_RUN/qe_outputs/a3v4-phase29b-parc-release-full-0046,6 3 3,60,480,Hg_ONCV_PBE-1.0.oncvpsp.upf|Tl_pbe_v1.2.uspp.F.UPF|Y_pbe_v1.uspp.F.UPF,d9739c3b83e714fdbc820832d91c04a1bf0768e71e51f99fa72ab2c36b0a3f87|018619075345aa953f960db6fbb6d7bba035adf76a8b210d57179489d14b1be2|5be8c6f04a4624425acd919bf34103b4498606638e23b0adb6386ce4f6fc86fc,pw.x,mpirun.openmpi,True,False,False,local_QE_input_deck_only_no_DFT_outcome
a3v4-phase29b-parc-release-full-0047,mattergen_pilot_5k_3gpu_02287,PARC-release-full,Y2 H2 Se1,5,H|Se|Y,outputs/milestones/mattergen_parc_prospective_dft_followup/A3_QE_LOCAL_RUN/qe_inputs/a3v4-phase29b-parc-release-full-0047/pw.vc-relax.in,outputs/milestones/mattergen_parc_prospective_dft_followup/A3_QE_LOCAL_RUN/qe_outputs/a3v4-phase29b-parc-release-full-0047,6 6 4,60,480,H.pbe-rrkjus_psl.1.0.0.UPF|Se_pbe_v1.uspp.F.UPF|Y_pbe_v1.uspp.F.UPF,27f8a7e87851d59a2698237d6ab4578d62950640f4f175781b015a0ce731f962|fcb1fe6e9c54d43fd3537f1103b9003ba92975e80c0a0214b21d1bf4abb494c8|5be8c6f04a4624425acd919bf34103b4498606638e23b0adb6386ce4f6fc86fc,pw.x,mpirun.openmpi,True,False,False,local_QE_input_deck_only_no_DFT_outcome
