regime,replicate,feature_set,fold,n_test,positive_rate_test,roc_auc,average_precision,brier,train_systems,test_systems,group_split,evidence_scope
candidate_driven,0,negative_control_noise,2,263,0.3574144486692015,0.5343698854337152,0.40662873459003374,0.24987403896051902,144,36,GroupKFold_by_system_id,controlled_evolving_reference_generality_simulation;pre_update_features_only;synthetic_mechanism_demonstration_not_external_domain;not_release_certificate;not_DFT_evidence;not_prospective_materials_discovery
candidate_driven,0,negative_control_noise,3,262,0.35877862595419846,0.44509878419452886,0.3362492085889571,0.25112023913521336,144,36,GroupKFold_by_system_id,controlled_evolving_reference_generality_simulation;pre_update_features_only;synthetic_mechanism_demonstration_not_external_domain;not_release_certificate;not_DFT_evidence;not_prospective_materials_discovery
candidate_driven,0,negative_control_noise,4,262,0.38549618320610685,0.4401943299920054,0.3518579224905904,0.2527776754057948,144,36,GroupKFold_by_system_id,controlled_evolving_reference_generality_simulation;pre_update_features_only;synthetic_mechanism_demonstration_not_external_domain;not_release_certificate;not_DFT_evidence;not_prospective_materials_discovery
candidate_driven,1,candidate_margin_rank,0,256,0.3203125,0.8737033922063359,0.7862507946812132,0.1418343006691198,144,36,GroupKFold_by_system_id,controlled_evolving_reference_generality_simulation;pre_update_features_only;synthetic_mechanism_demonstration_not_external_domain;not_release_certificate;not_DFT_evidence;not_prospective_materials_discovery
candidate_driven,1,candidate_margin_rank,1,256,0.36328125,0.8411504716669965,0.7608393107486154,0.1559181442303328,144,36,GroupKFold_by_system_id,controlled_evolving_reference_generality_simulation;pre_update_features_only;synthetic_mechanism_demonstration_not_external_domain;not_release_certificate;not_DFT_evidence;not_prospective_materials_discovery
candidate_driven,1,candidate_margin_rank,2,255,0.3176470588235294,0.8485170994749538,0.7330527583519661,0.1590783871416323,144,36,GroupKFold_by_system_id,controlled_evolving_reference_generality_simulation;pre_update_features_only;synthetic_mechanism_demonstration_not_external_domain;not_release_certificate;not_DFT_evidence;not_prospective_materials_discovery
candidate_driven,1,candidate_margin_rank,3,255,0.3058823529411765,0.8783137766188613,0.8162768453232985,0.15023138622821974,144,36,GroupKFold_by_system_id,controlled_evolving_reference_generality_simulation;pre_update_features_only;synthetic_mechanism_demonstration_not_external_domain;not_release_certificate;not_DFT_evidence;not_prospective_materials_discovery
candidate_driven,1,candidate_margin_rank,4,255,0.3686274509803922,0.8749174045196247,0.8393764731074912,0.15125342253900573,144,36,GroupKFold_by_system_id,controlled_evolving_reference_generality_simulation;pre_update_features_only;synthetic_mechanism_demonstration_not_external_domain;not_release_certificate;not_DFT_evidence;not_prospective_materials_discovery
candidate_driven,1,system_landscape_activity,0,256,0.3203125,0.5333964115503224,0.3326383870991888,0.2521935912875459,144,36,GroupKFold_by_system_id,controlled_evolving_reference_generality_simulation;pre_update_features_only;synthetic_mechanism_demonstration_not_external_domain;not_release_certificate;not_DFT_evidence;not_prospective_materials_discovery
candidate_driven,1,system_landscape_activity,1,256,0.36328125,0.4627284121643908,0.3531775155664791,0.2522969327845386,144,36,GroupKFold_by_system_id,controlled_evolving_reference_generality_simulation;pre_update_features_only;synthetic_mechanism_demonstration_not_external_domain;not_release_certificate;not_DFT_evidence;not_prospective_materials_discovery
