alpha1,seed,method,candidate_budget_M,n_cal_total,n_covered,n_rank_denominator,p_min_effective,gamma,gamma_star_eff,emax_effective,max_observed_e,best_margin,empty_diagnostic
0.05,0,unmatched_as_false_block,75,982.0,689.0,689.0,0.0014492753623188,0.5,0.1529825883736795,13.133925536563696,13.133925536563696,-11.260857394976096,resolution_below_required_emax
0.05,0,unmatched_as_false_block,100,982.0,689.0,689.0,0.0014492753623188,0.5,0.1529825883736795,13.133925536563696,13.133925536563696,-12.41712455594845,resolution_below_required_emax
0.05,0,unmatched_as_false_block,125,982.0,689.0,689.0,0.0014492753623188,0.5,0.1529825883736795,13.133925536563696,13.133925536563696,-14.126329937764634,resolution_below_required_emax
0.05,0,unmatched_as_false_block,150,982.0,689.0,689.0,0.0014492753623188,0.5,0.1529825883736795,13.133925536563696,13.133925536563696,-14.126329937764634,resolution_below_required_emax
0.05,0,unmatched_as_false_block,175,982.0,689.0,689.0,0.0014492753623188,0.5,0.1529825883736795,13.133925536563696,13.133925536563696,-14.475167147066962,resolution_below_required_emax
0.05,0,unmatched_as_false_block,200,982.0,689.0,689.0,0.0014492753623188,0.5,0.1529825883736795,13.133925536563696,13.133925536563696,-14.638097352618196,resolution_below_required_emax
0.05,0,unmatched_as_false_block,250,982.0,689.0,689.0,0.0014492753623188,0.5,0.1529825883736795,13.133925536563696,13.133925536563696,-14.638097352618196,resolution_below_required_emax
0.05,0,null_superset_no_audit,100,982.0,689.0,689.0,0.0014492753623188,0.1529825883736795,0.1529825883736795,38.8326128927103,38.8326128927103,-4.686777131676049,insufficient_high_e_mass_for_uniform_scs
0.05,0,null_superset_no_audit,125,982.0,689.0,689.0,0.0014492753623188,0.1529825883736795,0.1529825883736795,38.8326128927103,38.8326128927103,-8.49630094119986,insufficient_high_e_mass_for_uniform_scs
0.05,0,null_superset_no_audit,150,982.0,689.0,689.0,0.0014492753623188,0.1529825883736795,0.1529825883736795,38.8326128927103,38.8326128927103,-10.065252134388489,insufficient_high_e_mass_for_uniform_scs
