method,audit_policy,empty_block_policy,alpha1,score_source,n_cal_total,n_covered,n_excluded_empty,n_rank_denominator,n_rank,n_nonempty,n_empty_null_videos,n_inf_blockmax_videos,gamma,gamma_star_eff,p_min_theoretical,p_min_block,p_min_effective,emax_theoretical,emax_effective,required_emax,release_feasible,max_observed_e,mean_observed_e,candidate_budget_M,real_candidate_count,dummy_paths,released,official_supported,unsupported,unsupported_actually_true,unsupported_actually_false,unsupported_uncertain,unsupported_unlabeled,audited_released,true_released,false_released,uncertain_released,utr,audited_ftr_on_labeled_released,audited_ftr_supported_plus_labeled,conservative_ftr_uncertain_and_unlabeled_false,recall_proxy,verified_positive_removed,null_superset_size,tau_k,self_consistency_margin,best_margin_k,best_margin_tau,best_margin,selected_e_min,selected_e_mean,selected_e_max,empty_reason,empty_diagnostic,seed,method_family,runtime_sec,baseline_note,selection_protocol,selected_M,selected_M_by_tune,selection_metric,selection_status,tune_released,tune_margin,tune_tau,tune_max_e,tune_video_count,tune_internal_cal_videos,tune_internal_val_videos
unmatched_as_false_block,treat_unmatched_as_false_baseline,coverage_conditional,0.1,final_score_proxy,982.0,673.0,309.0,673.0,673.0,673.0,309.0,0.0,0.5,0.1535336511947572,0.0010172939979654,0.0014836795252225,0.0014836795252225,15.676415406590976,12.980754985747168,10.0,True,12.980754985747168,12.118973960722204,150,150.0,0.0,116,113,3,2.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0258620689655172,0.0,0.0,0.0086206896551724,0.7733333333333333,0.0,2437.0,12.93103448275862,0.0497205029885492,116.0,12.93103448275862,0.0497205029885492,12.980754985747168,12.980754985747168,12.980754985747168,,,2,certified_or_core_baseline,,,tune_fallback_M,150,150,feasible_first_release_max,no_feasible_M_on_tune_fallback,0,-inf,inf,4.153311931459037,196.0,98.0,98.0
null_superset_no_audit,remove_official_gt_matches_only,coverage_conditional,0.1,final_score_proxy,982.0,673.0,309.0,673.0,673.0,673.0,309.0,0.0,0.1535336511947572,0.1535336511947572,0.0010172939979654,0.0014836795252225,0.0014836795252225,52.396156165607664,38.068782942910914,10.0,True,38.068782942910914,34.2387940494485,150,150.0,0.0,150,147,3,2.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.02,0.0,0.0,0.0066666666666666,1.0,0.0,2437.0,10.0,11.171773118812036,116.0,12.93103448275862,25.13774846015229,21.17177311881204,34.2387940494485,38.068782942910914,,,2,certified_or_core_baseline,,,tune_fallback_M,150,150,feasible_first_release_max,no_feasible_M_on_tune_fallback,0,-inf,inf,5.995050292964696,196.0,98.0,98.0
parc_track_gamma_tuned_uniform_scs,remove_official_gt_matches_and_verified_positive_for_calibration,coverage_conditional,0.1,final_score_proxy,982.0,660.0,322.0,660.0,660.0,660.0,322.0,0.0,0.1539941341575152,0.1539941341575152,0.0010172939979654,0.0015128593040847,0.0015128593040847,52.38681658022706,37.44649344759844,10.0,True,37.44649344759844,33.68061821796893,150,150.0,0.0,150,147,3,2.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.02,0.0,0.0,0.0066666666666666,1.0,67.0,2370.0,10.0,10.83233802276235,116.0,12.93103448275862,24.515458964839823,20.83233802276235,33.68061821796893,37.44649344759844,,,2,certified_or_core_baseline,,,tune_fallback_M,150,150,feasible_first_release_max,no_feasible_M_on_tune_fallback,0,-inf,inf,5.995050292964696,196.0,98.0,98.0
confidence_threshold,,,0.1,,,,,,,,,,,,,,,,,,,,,150,,,150,147,3,,,,,,,,,0.02,0.0,,0.9866666666666668,1.0,,,,,,,,,,,,,2,diagnostic_baseline,0.0001545399427413,score_threshold_from_calibration_null_quantile,tune_fallback_M,150,150,shared_parc_feasible_first_release_max,shared_from_parc_full:no_feasible_M_on_tune_fallback,0,-inf,,,,,
tracklet_p_bh,,,0.1,,,,,,,,,,,,,,,,,,,,,150,,,150,147,3,,,,,,,,,0.02,0.0,,0.9866666666666668,1.0,,,,,,,,,,,,,2,diagnostic_baseline,0.0001559602096676,tracklet_level_p_bh,tune_fallback_M,150,150,shared_parc_feasible_first_release_max,shared_from_parc_full:no_feasible_M_on_tune_fallback,0,-inf,,,,,
tracklet_e_bh,,,0.1,,,,,,,,,,,,,,,,,,,,,150,,,150,147,3,,,,,,,,,0.02,0.0,,0.9866666666666668,1.0,,,10.0,7.21554530068682,,,,,,,,,2,diagnostic_baseline,0.0001568999141454,tracklet_level_e_self_consistency,tune_fallback_M,150,150,shared_parc_feasible_first_release_max,shared_from_parc_full:no_feasible_M_on_tune_fallback,0,-inf,,,,,
post_filter_e_bh,,,0.1,,,,,,,,,,,,,,,,,,,,,150,,,150,147,3,,,,,,,,,0.02,0.0,,0.9866666666666668,1.0,,,10.0,10.83233802276235,,,,,,,,,2,diagnostic_baseline,0.0001546898856759,block_evalue_post_filter,tune_fallback_M,150,150,shared_parc_feasible_first_release_max,shared_from_parc_full:no_feasible_M_on_tune_fallback,0,-inf,,,,,
greedy_score_no_risk,,,0.1,,,,,,,,,,,,,,,,,,,,,150,,,150,147,3,,,,,,,,,0.02,0.0,,0.9866666666666668,1.0,,,,,,,,,,,,,2,diagnostic_baseline,0.0001534102484583,top_m_by_score_no_risk_control,tune_fallback_M,150,150,shared_parc_feasible_first_release_max,shared_from_parc_full:no_feasible_M_on_tune_fallback,0,-inf,,,,,
unmatched_as_false_block,treat_unmatched_as_false_baseline,coverage_conditional,0.2,final_score_proxy,982.0,689.0,293.0,689.0,689.0,689.0,293.0,0.0,0.5,0.1529825883736795,0.0010172939979654,0.0014492753623188,0.0014492753623188,15.676415406590976,13.133925536563696,5.0,True,13.133925536563696,8.367825783082248,150,150.0,0.0,150,148,2,1.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0133333333333333,0.0,0.0,0.0066666666666666,1.0,0.0,2456.0,5.0,0.873670062235365,150.0,5.0,0.873670062235365,5.873670062235365,8.367825783082248,13.133925536563696,,,0,certified_or_core_baseline,,,tune_fallback_M,150,150,feasible_first_release_max,no_feasible_M_on_tune_fallback,0,-inf,inf,4.272001872658766,196.0,98.0,98.0
null_superset_no_audit,remove_official_gt_matches_only,coverage_conditional,0.2,final_score_proxy,982.0,689.0,293.0,689.0,689.0,689.0,293.0,0.0,0.1529825883736795,0.1529825883736795,0.0010172939979654,0.0014492753623188,0.0014492753623188,52.40671520749837,38.8326128927103,5.0,True,38.8326128927103,18.80437226910227,150,150.0,0.0,150,148,2,1.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0133333333333333,0.0,0.0,0.0066666666666666,1.0,0.0,2456.0,5.0,4.934747865611511,73.0,10.273972602739724,11.314353303742529,9.934747865611511,18.80437226910227,38.8326128927103,,,0,certified_or_core_baseline,,,tune_fallback_M,150,150,feasible_first_release_max,no_feasible_M_on_tune_fallback,0,-inf,inf,6.2592828516116175,196.0,98.0,98.0
parc_track_gamma_tuned_uniform_scs,remove_official_gt_matches_and_verified_positive_for_calibration,coverage_conditional,0.2,final_score_proxy,982.0,683.0,299.0,683.0,683.0,683.0,299.0,0.0,0.1531872620226992,0.1531872620226992,0.0010172939979654,0.0014619883040935,0.0014619883040935,52.40287227141822,38.546439933685846,5.0,True,38.546439933685846,18.6686405303884,150,150.0,0.0,150,148,2,1.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0133333333333333,0.0,0.0,0.0066666666666666,1.0,67.0,2391.0,5.0,4.864783778505613,73.0,10.273972602739724,11.158300708238848,9.864783778505611,18.6686405303884,38.546439933685846,,,0,certified_or_core_baseline,,,tune_fallback_M,150,150,feasible_first_release_max,no_feasible_M_on_tune_fallback,0,-inf,inf,6.061336876907764,196.0,98.0,98.0
confidence_threshold,,,0.2,,,,,,,,,,,,,,,,,,,,,150,,,150,148,2,,,,,,,,,0.0133333333333333,0.0,,0.9866666666666668,1.0,,,,,,,,,,,,,0,diagnostic_baseline,0.0001581301912665,score_threshold_from_calibration_null_quantile,tune_fallback_M,150,150,shared_parc_feasible_first_release_max,shared_from_parc_full:no_feasible_M_on_tune_fallback,0,-inf,,,,,
tracklet_p_bh,,,0.2,,,,,,,,,,,,,,,,,,,,,150,,,150,148,2,,,,,,,,,0.0133333333333333,0.0,,0.9866666666666668,1.0,,,,,,,,,,,,,0,diagnostic_baseline,0.0001614894717931,tracklet_level_p_bh,tune_fallback_M,150,150,shared_parc_feasible_first_release_max,shared_from_parc_full:no_feasible_M_on_tune_fallback,0,-inf,,,,,
tracklet_e_bh,,,0.2,,,,,,,,,,,,,,,,,,,,,150,,,150,148,2,,,,,,,,,0.0133333333333333,0.0,,0.9866666666666668,1.0,,,5.0,3.1513461737583217,,,,,,,,,0,diagnostic_baseline,0.0001578796654939,tracklet_level_e_self_consistency,tune_fallback_M,150,150,shared_parc_feasible_first_release_max,shared_from_parc_full:no_feasible_M_on_tune_fallback,0,-inf,,,,,
post_filter_e_bh,,,0.2,,,,,,,,,,,,,,,,,,,,,150,,,150,148,2,,,,,,,,,0.0133333333333333,0.0,,0.9866666666666668,1.0,,,5.0,4.864783778505611,,,,,,,,,0,diagnostic_baseline,0.0001588612794876,block_evalue_post_filter,tune_fallback_M,150,150,shared_parc_feasible_first_release_max,shared_from_parc_full:no_feasible_M_on_tune_fallback,0,-inf,,,,,
greedy_score_no_risk,,,0.2,,,,,,,,,,,,,,,,,,,,,150,,,150,148,2,,,,,,,,,0.0133333333333333,0.0,,0.9866666666666668,1.0,,,,,,,,,,,,,0,diagnostic_baseline,0.0001579206436872,top_m_by_score_no_risk_control,tune_fallback_M,150,150,shared_parc_feasible_first_release_max,shared_from_parc_full:no_feasible_M_on_tune_fallback,0,-inf,,,,,
unmatched_as_false_block,treat_unmatched_as_false_baseline,coverage_conditional,0.2,final_score_proxy,982.0,671.0,311.0,671.0,671.0,671.0,311.0,0.0,0.5,0.1536037354732135,0.0010172939979654,0.0014880952380952,0.0014880952380952,15.676415406590976,12.96148139681572,5.0,True,12.96148139681572,9.750139702798142,150,150.0,0.0,150,146,4,1.0,0.0,0.0,3.0,2.0,2.0,0.0,0.0,0.0266666666666666,0.0,0.0,0.02,1.0,0.0,2266.0,5.0,2.4833147735478827,148.0,5.067567567567568,4.097583822344112,7.483314773547883,9.750139702798142,12.96148139681572,,,1,certified_or_core_baseline,,,tune_fallback_M,150,150,feasible_first_release_max,no_feasible_M_on_tune_fallback,0,-inf,inf,4.06201920231798,196.0,98.0,98.0
null_superset_no_audit,remove_official_gt_matches_only,coverage_conditional,0.2,final_score_proxy,982.0,671.0,311.0,671.0,671.0,671.0,311.0,0.0,0.1536037354732135,0.1536037354732135,0.0010172939979654,0.0014880952380952,0.0014880952380952,52.394764935738735,37.97314507911579,5.0,True,37.97314507911579,23.73437487595457,150,150.0,0.0,150,146,4,1.0,0.0,0.0,3.0,2.0,2.0,0.0,0.0,0.0266666666666666,0.0,0.0,0.02,1.0,0.0,2266.0,5.0,9.9845229359243,148.0,5.067567567567568,16.052042945517584,14.9845229359243,23.73437487595457,37.97314507911579,,,1,certified_or_core_baseline,,,tune_fallback_M,150,150,feasible_first_release_max,no_feasible_M_on_tune_fallback,0,-inf,inf,5.795237224146918,196.0,98.0,98.0
parc_track_gamma_tuned_uniform_scs,remove_official_gt_matches_and_verified_positive_for_calibration,coverage_conditional,0.2,final_score_proxy,982.0,655.0,327.0,655.0,655.0,655.0,327.0,0.0,0.1541744080264767,0.1541744080264767,0.0010172939979654,0.0015243902439024,0.0015243902439024,52.38303295760676,37.20674236442314,5.0,True,37.20674236442314,23.262240544677287,150,150.0,0.0,150,146,4,1.0,0.0,0.0,3.0,2.0,2.0,0.0,0.0,0.0266666666666666,0.0,0.0,0.02,1.0,77.0,2191.0,5.0,9.6913017622778,148.0,5.067567567567568,15.633978089133093,14.6913017622778,23.262240544677287,37.20674236442314,,,1,certified_or_core_baseline,,,tune_fallback_M,150,150,feasible_first_release_max,no_feasible_M_on_tune_fallback,0,-inf,inf,5.661203684512458,196.0,98.0,98.0
confidence_threshold,,,0.2,,,,,,,,,,,,,,,,,,,,,150,,,150,146,4,,,,,,,,,0.0266666666666666,0.0,,0.9866666666666668,1.0,,,,,,,,,,,,,1,diagnostic_baseline,0.0001565609127283,score_threshold_from_calibration_null_quantile,tune_fallback_M,150,150,shared_parc_feasible_first_release_max,shared_from_parc_full:no_feasible_M_on_tune_fallback,0,-inf,,,,,
tracklet_p_bh,,,0.2,,,,,,,,,,,,,,,,,,,,,150,,,150,146,4,,,,,,,,,0.0266666666666666,0.0,,0.9866666666666668,1.0,,,,,,,,,,,,,1,diagnostic_baseline,0.0001585492864251,tracklet_level_p_bh,tune_fallback_M,150,150,shared_parc_feasible_first_release_max,shared_from_parc_full:no_feasible_M_on_tune_fallback,0,-inf,,,,,
tracklet_e_bh,,,0.2,,,,,,,,,,,,,,,,,,,,,150,,,150,146,4,,,,,,,,,0.0266666666666666,0.0,,0.9866666666666668,1.0,,,5.0,5.469001862641921,,,,,,,,,1,diagnostic_baseline,0.0001570498570799,tracklet_level_e_self_consistency,tune_fallback_M,150,150,shared_parc_feasible_first_release_max,shared_from_parc_full:no_feasible_M_on_tune_fallback,0,-inf,,,,,
post_filter_e_bh,,,0.2,,,,,,,,,,,,,,,,,,,,,150,,,150,146,4,,,,,,,,,0.0266666666666666,0.0,,0.9866666666666668,1.0,,,5.0,9.6913017622778,,,,,,,,,1,diagnostic_baseline,0.0001591201871633,block_evalue_post_filter,tune_fallback_M,150,150,shared_parc_feasible_first_release_max,shared_from_parc_full:no_feasible_M_on_tune_fallback,0,-inf,,,,,
greedy_score_no_risk,,,0.2,,,,,,,,,,,,,,,,,,,,,150,,,150,146,4,,,,,,,,,0.0266666666666666,0.0,,0.9866666666666668,1.0,,,,,,,,,,,,,1,diagnostic_baseline,0.0001583704724907,top_m_by_score_no_risk_control,tune_fallback_M,150,150,shared_parc_feasible_first_release_max,shared_from_parc_full:no_feasible_M_on_tune_fallback,0,-inf,,,,,
unmatched_as_false_block,treat_unmatched_as_false_baseline,coverage_conditional,0.2,final_score_proxy,982.0,673.0,309.0,673.0,673.0,673.0,309.0,0.0,0.5,0.1535336511947572,0.0010172939979654,0.0014836795252225,0.0014836795252225,15.676415406590976,12.980754985747168,5.0,True,12.980754985747168,12.118973960722204,150,150.0,0.0,150,147,3,2.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.02,0.0,0.0,0.0066666666666666,1.0,0.0,2437.0,5.0,4.17877987534291,116.0,6.46551724137931,6.515237744367859,9.17877987534291,12.118973960722204,12.980754985747168,,,2,certified_or_core_baseline,,,tune_fallback_M,150,150,feasible_first_release_max,no_feasible_M_on_tune_fallback,0,-inf,inf,4.153311931459037,196.0,98.0,98.0
null_superset_no_audit,remove_official_gt_matches_only,coverage_conditional,0.2,final_score_proxy,982.0,673.0,309.0,673.0,673.0,673.0,309.0,0.0,0.1535336511947572,0.1535336511947572,0.0010172939979654,0.0014836795252225,0.0014836795252225,52.396156165607664,38.068782942910914,5.0,True,38.068782942910914,34.2387940494485,150,150.0,0.0,150,147,3,2.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.02,0.0,0.0,0.0066666666666666,1.0,0.0,2437.0,5.0,16.171773118812037,116.0,6.46551724137931,31.603265701531605,21.17177311881204,34.2387940494485,38.068782942910914,,,2,certified_or_core_baseline,,,tune_fallback_M,150,150,feasible_first_release_max,no_feasible_M_on_tune_fallback,0,-inf,inf,5.995050292964696,196.0,98.0,98.0
parc_track_gamma_tuned_uniform_scs,remove_official_gt_matches_and_verified_positive_for_calibration,coverage_conditional,0.2,final_score_proxy,982.0,660.0,322.0,660.0,660.0,660.0,322.0,0.0,0.1539941341575152,0.1539941341575152,0.0010172939979654,0.0015128593040847,0.0015128593040847,52.38681658022706,37.44649344759844,5.0,True,37.44649344759844,33.68061821796893,150,150.0,0.0,150,147,3,2.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.02,0.0,0.0,0.0066666666666666,1.0,67.0,2370.0,5.0,15.83233802276235,116.0,6.46551724137931,30.980976206219133,20.83233802276235,33.68061821796893,37.44649344759844,,,2,certified_or_core_baseline,,,tune_fallback_M,150,150,feasible_first_release_max,no_feasible_M_on_tune_fallback,0,-inf,inf,5.995050292964696,196.0,98.0,98.0
confidence_threshold,,,0.2,,,,,,,,,,,,,,,,,,,,,150,,,150,147,3,,,,,,,,,0.02,0.0,,0.9866666666666668,1.0,,,,,,,,,,,,,2,diagnostic_baseline,0.0001590400934219,score_threshold_from_calibration_null_quantile,tune_fallback_M,150,150,shared_parc_feasible_first_release_max,shared_from_parc_full:no_feasible_M_on_tune_fallback,0,-inf,,,,,
tracklet_p_bh,,,0.2,,,,,,,,,,,,,,,,,,,,,150,,,150,147,3,,,,,,,,,0.02,0.0,,0.9866666666666668,1.0,,,,,,,,,,,,,2,diagnostic_baseline,0.0001597795635461,tracklet_level_p_bh,tune_fallback_M,150,150,shared_parc_feasible_first_release_max,shared_from_parc_full:no_feasible_M_on_tune_fallback,0,-inf,,,,,
tracklet_e_bh,,,0.2,,,,,,,,,,,,,,,,,,,,,150,,,150,147,3,,,,,,,,,0.02,0.0,,0.9866666666666668,1.0,,,5.0,12.21554530068682,,,,,,,,,2,diagnostic_baseline,0.000158280134201,tracklet_level_e_self_consistency,tune_fallback_M,150,150,shared_parc_feasible_first_release_max,shared_from_parc_full:no_feasible_M_on_tune_fallback,0,-inf,,,,,
post_filter_e_bh,,,0.2,,,,,,,,,,,,,,,,,,,,,150,,,150,147,3,,,,,,,,,0.02,0.0,,0.9866666666666668,1.0,,,5.0,15.83233802276235,,,,,,,,,2,diagnostic_baseline,0.0001589404419064,block_evalue_post_filter,tune_fallback_M,150,150,shared_parc_feasible_first_release_max,shared_from_parc_full:no_feasible_M_on_tune_fallback,0,-inf,,,,,
greedy_score_no_risk,,,0.2,,,,,,,,,,,,,,,,,,,,,150,,,150,147,3,,,,,,,,,0.02,0.0,,0.9866666666666668,1.0,,,,,,,,,,,,,2,diagnostic_baseline,0.0001595392823219,top_m_by_score_no_risk_control,tune_fallback_M,150,150,shared_parc_feasible_first_release_max,shared_from_parc_full:no_feasible_M_on_tune_fallback,0,-inf,,,,,
