method,alpha1,seed,candidate_budget_M,released,n_cal_total,n_covered,n_excluded_empty,p_min_effective,emax_effective,required_emax,release_feasible,max_observed_e,best_margin_k,best_margin_tau,best_margin,empty_reason,empty_diagnostic
post_filter_e_bh,0.05,0,75,0,,,,,,,,,,,,,baseline_selected_empty
greedy_score_no_risk,0.05,0,75,75,,,,,,,,,,,,,
confidence_threshold,0.05,0,100,100,,,,,,,,,,,,,
tracklet_p_bh,0.05,0,100,100,,,,,,,,,,,,,
tracklet_e_bh,0.05,0,100,0,,,,,,,,,,,,,baseline_selected_empty
post_filter_e_bh,0.05,0,100,0,,,,,,,,,,,,,baseline_selected_empty
greedy_score_no_risk,0.05,0,100,100,,,,,,,,,,,,,
confidence_threshold,0.05,0,125,125,,,,,,,,,,,,,
tracklet_p_bh,0.05,0,125,125,,,,,,,,,,,,,
tracklet_e_bh,0.05,0,125,0,,,,,,,,,,,,,baseline_selected_empty
post_filter_e_bh,0.05,0,125,0,,,,,,,,,,,,,baseline_selected_empty
greedy_score_no_risk,0.05,0,125,125,,,,,,,,,,,,,
confidence_threshold,0.05,0,150,150,,,,,,,,,,,,,
tracklet_p_bh,0.05,0,150,150,,,,,,,,,,,,,
tracklet_e_bh,0.05,0,150,0,,,,,,,,,,,,,baseline_selected_empty
post_filter_e_bh,0.05,0,150,0,,,,,,,,,,,,,baseline_selected_empty
greedy_score_no_risk,0.05,0,150,150,,,,,,,,,,,,,
confidence_threshold,0.05,0,175,175,,,,,,,,,,,,,
tracklet_p_bh,0.05,0,175,175,,,,,,,,,,,,,
tracklet_e_bh,0.05,0,175,0,,,,,,,,,,,,,baseline_selected_empty
post_filter_e_bh,0.05,0,175,0,,,,,,,,,,,,,baseline_selected_empty
greedy_score_no_risk,0.05,0,175,175,,,,,,,,,,,,,
confidence_threshold,0.05,0,200,200,,,,,,,,,,,,,
tracklet_p_bh,0.05,0,200,200,,,,,,,,,,,,,
tracklet_e_bh,0.05,0,200,0,,,,,,,,,,,,,baseline_selected_empty
post_filter_e_bh,0.05,0,200,0,,,,,,,,,,,,,baseline_selected_empty
greedy_score_no_risk,0.05,0,200,200,,,,,,,,,,,,,
confidence_threshold,0.05,0,250,250,,,,,,,,,,,,,
tracklet_p_bh,0.05,0,250,250,,,,,,,,,,,,,
tracklet_e_bh,0.05,0,250,0,,,,,,,,,,,,,baseline_selected_empty
post_filter_e_bh,0.05,0,250,0,,,,,,,,,,,,,baseline_selected_empty
greedy_score_no_risk,0.05,0,250,250,,,,,,,,,,,,,
unmatched_as_false_block,0.05,1,75,0,708.0,595.0,113.0,0.0016778523489932,12.206555615733704,20.0,True,12.206555615733704,75.0,20.0,-13.896722192133147,no_k_satisfies_uniform_self_consistency,resolution_below_required_emax
unmatched_as_false_block,0.05,1,100,0,708.0,595.0,113.0,0.0016778523489932,12.206555615733704,20.0,True,12.206555615733704,100.0,20.0,-14.541062374417528,no_k_satisfies_uniform_self_consistency,resolution_below_required_emax
unmatched_as_false_block,0.05,1,125,0,708.0,595.0,113.0,0.0016778523489932,12.206555615733704,20.0,True,12.206555615733704,125.0,20.0,-15.386355639441389,no_k_satisfies_uniform_self_consistency,resolution_below_required_emax
unmatched_as_false_block,0.05,1,150,0,708.0,595.0,113.0,0.0016778523489932,12.206555615733704,20.0,True,12.206555615733704,150.0,20.0,-15.931148128088765,no_k_satisfies_uniform_self_consistency,resolution_below_required_emax
unmatched_as_false_block,0.05,1,175,0,708.0,595.0,113.0,0.0016778523489932,12.206555615733704,20.0,True,12.206555615733704,175.0,20.0,-16.31958500363688,no_k_satisfies_uniform_self_consistency,resolution_below_required_emax
unmatched_as_false_block,0.05,1,200,0,708.0,595.0,113.0,0.0016778523489932,12.206555615733704,20.0,True,12.206555615733704,200.0,20.0,-16.476270914689003,no_k_satisfies_uniform_self_consistency,resolution_below_required_emax
