element,reference_energy_per_atom
Ac,-4.102933069917804
Ag,-2.8434793333466053
Al,-3.781287497438839
As,-4.688354496909281
Au,-3.286456643811581
B,-6.716804652467816
Ba,-1.9466074399505453
Be,-3.7982647951557267
Bi,-3.84222379357553
Br,-1.5516512616447047
C,-9.267725965439523
Ca,-1.9877378448562664
Cd,-0.917694397116738
Ce,-5.9207221248102515
Cl,-1.8534808285869058
Co,-7.130869556461435
Cr,-9.679613813943277
Cs,-0.9445065858778557
Cu,-4.097614090423092
Dy,-4.595493882305624
Er,-4.571513016943201
Eu,-10.249701663430704
F,-1.9133077875122808
Fe,-8.49624104339833
Ga,-3.051827643336553
Gd,-14.08024642999385
Ge,-4.622025925258613
H,-3.3961093468153294
Hf,-9.948930102030559
Hg,-0.3120461287492229
Ho,-4.589941993910815
I,-1.4908344148705692
In,-2.775750632935732
Ir,-8.88193475202099
K,-1.1214446252301555
La,-4.9281987819243716
Li,-1.9165506228750857
Lu,-4.530628689188333
Mg,-1.5871530526452244
Mn,-9.188748200764945
Mo,-10.789088417489857
N,-8.30925148658581
Na,-1.3200569001837075
Nb,-10.160181196770289
Nd,-4.759982334670781
Ni,-5.822283199203067
Np,-12.925892614950103
O,-4.93186128370218
Os,-11.319159094762512
P,-5.443165777872557
Pb,-3.7291031883094705
Pd,-5.199145332884493
Pm,-4.812744277573925
Pr,-4.771297725860459
Pt,-6.132540970966365
Pu,-13.925677526464264
Rb,-0.9810970426154276
Re,-12.474151320879303
Rh,-7.410594492907532
Ru,-9.350897539618401
S,-4.17192730903087
Sb,-4.102348359544192
Sc,-6.365422215578665
Se,-3.5057683877941277
Si,-5.447910209106544
Sm,-4.691571655069867
Sn,-4.019217501817192
Sr,-1.6826983005132883
Ta,-11.928294803194534
Tb,-4.636208181353438
Tc,-10.41503323011361
Te,-3.17433029956754
Th,-7.472702793806572
Ti,-7.937964279965073
Tl,-2.406750210835986
Tm,-4.470016490432036
U,-11.303818696927712
V,-9.07001588308125
W,-12.909522777387787
Xe,-0.057496989701629385
Y,-6.470144237367127
Yb,-1.5113427025250996
Zn,-1.310855129233496
Zr,-8.591316522687872
