domain,dataset,proposal_source,source_scope,metric_family,alpha,K,seed,PARC_released,non_empty,raw_selected_links,raw_false_lineage_edges,raw_false_edge_fraction,raw_successor_conflicts,raw_predecessor_conflicts,raw_corrupted_lineage_components,raw_aogm_edge_edit_burden_proxy,raw_tra_edge_quality_proxy,PARC_false_lineage_edges,PARC_false_edge_fraction,PARC_corrupted_lineage_components,PARC_aogm_edge_edit_burden_proxy,PARC_tra_edge_quality_proxy,oracle_aogm_edge_edit_burden_proxy,prevented_false_lineage_edges,prevented_corrupted_lineage_components,prevented_aogm_edge_edit_burden_proxy,best_mass_ratio,max_observed_e,required_e,block_coverage,observed_positives,evidence_status
biomedical_cell_tracking,Cell Tracking Challenge,ctc_learned_hybrid,sequence-disjoint learned appearance linker,official_GT_lineage_edge_metrics,0.1,5000,4,0,0,5000,0,0.0,0,0,0,0,1.0,0,0.0,0,0,1.0,0,0,0,0,0.3532804314753994,13.321283238137232,10.0,1.0,1555,completed_official_GT_downstream_consequence
biomedical_cell_tracking,Cell Tracking Challenge,ctc_learned_hybrid,sequence-disjoint learned appearance linker,official_GT_lineage_edge_metrics,0.1,100,5,100,1,100,0,0.0,0,0,0,0,1.0,0,0.0,0,0,1.0,0,0,0,0,1.3321283238137231,13.321283238137232,10.0,1.0,1591,completed_official_GT_downstream_consequence
biomedical_cell_tracking,Cell Tracking Challenge,ctc_learned_hybrid,sequence-disjoint learned appearance linker,official_GT_lineage_edge_metrics,0.1,300,5,300,1,300,0,0.0,0,0,0,0,1.0,0,0.0,0,0,1.0,0,0,0,0,1.3321283238137231,13.321283238137232,10.0,1.0,1591,completed_official_GT_downstream_consequence
biomedical_cell_tracking,Cell Tracking Challenge,ctc_learned_hybrid,sequence-disjoint learned appearance linker,official_GT_lineage_edge_metrics,0.1,500,5,500,1,500,0,0.0,0,0,0,0,1.0,0,0.0,0,0,1.0,0,0,0,0,1.3321283238137231,13.321283238137232,10.0,1.0,1591,completed_official_GT_downstream_consequence
biomedical_cell_tracking,Cell Tracking Challenge,ctc_learned_hybrid,sequence-disjoint learned appearance linker,official_GT_lineage_edge_metrics,0.1,1000,5,1000,1,1000,0,0.0,0,0,0,0,1.0,0,0.0,0,0,1.0,0,0,0,0,1.3321283238137231,13.321283238137232,10.0,1.0,1591,completed_official_GT_downstream_consequence
biomedical_cell_tracking,Cell Tracking Challenge,ctc_learned_hybrid,sequence-disjoint learned appearance linker,official_GT_lineage_edge_metrics,0.1,5000,5,0,0,5000,0,0.0,0,0,0,0,1.0,0,0.0,0,0,1.0,0,0,0,0,0.33036782430580336,13.321283238137232,10.0,1.0,1591,completed_official_GT_downstream_consequence
biomedical_cell_tracking,Cell Tracking Challenge,ctc_learned_hybrid,sequence-disjoint learned appearance linker,official_GT_lineage_edge_metrics,0.1,100,6,100,1,100,0,0.0,0,0,0,0,1.0,0,0.0,0,0,1.0,0,0,0,0,1.3321283238137231,13.321283238137232,10.0,1.0,1476,completed_official_GT_downstream_consequence
biomedical_cell_tracking,Cell Tracking Challenge,ctc_learned_hybrid,sequence-disjoint learned appearance linker,official_GT_lineage_edge_metrics,0.1,300,6,300,1,300,0,0.0,0,0,0,0,1.0,0,0.0,0,0,1.0,0,0,0,0,1.3321283238137231,13.321283238137232,10.0,1.0,1476,completed_official_GT_downstream_consequence
biomedical_cell_tracking,Cell Tracking Challenge,ctc_learned_hybrid,sequence-disjoint learned appearance linker,official_GT_lineage_edge_metrics,0.1,500,6,500,1,500,0,0.0,0,0,0,0,1.0,0,0.0,0,0,1.0,0,0,0,0,1.3321283238137231,13.321283238137232,10.0,1.0,1476,completed_official_GT_downstream_consequence
biomedical_cell_tracking,Cell Tracking Challenge,ctc_learned_hybrid,sequence-disjoint learned appearance linker,official_GT_lineage_edge_metrics,0.1,1000,6,1000,1,1000,0,0.0,0,0,0,0,1.0,0,0.0,0,0,1.0,0,0,0,0,1.3321283238137231,13.321283238137232,10.0,1.0,1476,completed_official_GT_downstream_consequence
biomedical_cell_tracking,Cell Tracking Challenge,ctc_learned_hybrid,sequence-disjoint learned appearance linker,official_GT_lineage_edge_metrics,0.1,5000,6,0,0,5000,0,0.0,0,0,0,0,1.0,0,0.0,0,0,1.0,0,0,0,0,0.31944437205053083,13.321283238137232,10.0,1.0,1476,completed_official_GT_downstream_consequence
biomedical_cell_tracking,Cell Tracking Challenge,ctc_learned_hybrid,sequence-disjoint learned appearance linker,official_GT_lineage_edge_metrics,0.1,100,7,100,1,100,0,0.0,0,0,0,0,1.0,0,0.0,0,0,1.0,0,0,0,0,1.3321283238137231,13.321283238137232,10.0,1.0,1553,completed_official_GT_downstream_consequence
biomedical_cell_tracking,Cell Tracking Challenge,ctc_learned_hybrid,sequence-disjoint learned appearance linker,official_GT_lineage_edge_metrics,0.1,300,7,300,1,300,0,0.0,0,0,0,0,1.0,0,0.0,0,0,1.0,0,0,0,0,1.3321283238137231,13.321283238137232,10.0,1.0,1553,completed_official_GT_downstream_consequence
biomedical_cell_tracking,Cell Tracking Challenge,ctc_learned_hybrid,sequence-disjoint learned appearance linker,official_GT_lineage_edge_metrics,0.1,500,7,500,1,500,0,0.0,0,0,0,0,1.0,0,0.0,0,0,1.0,0,0,0,0,1.3321283238137231,13.321283238137232,10.0,1.0,1553,completed_official_GT_downstream_consequence
biomedical_cell_tracking,Cell Tracking Challenge,ctc_learned_hybrid,sequence-disjoint learned appearance linker,official_GT_lineage_edge_metrics,0.1,1000,7,1000,1,1000,0,0.0,0,0,0,0,1.0,0,0.0,0,0,1.0,0,0,0,0,1.3321283238137231,13.321283238137232,10.0,1.0,1553,completed_official_GT_downstream_consequence
biomedical_cell_tracking,Cell Tracking Challenge,ctc_learned_hybrid,sequence-disjoint learned appearance linker,official_GT_lineage_edge_metrics,0.1,5000,7,0,0,5000,0,0.0,0,0,0,0,1.0,0,0.0,0,0,1.0,0,0,0,0,0.36100677575351897,13.321283238137232,10.0,1.0,1553,completed_official_GT_downstream_consequence
biomedical_cell_tracking,Cell Tracking Challenge,ctc_learned_hybrid,sequence-disjoint learned appearance linker,official_GT_lineage_edge_metrics,0.1,100,8,100,1,100,0,0.0,0,0,0,0,1.0,0,0.0,0,0,1.0,0,0,0,0,1.3321283238137231,13.321283238137232,10.0,1.0,1279,completed_official_GT_downstream_consequence
biomedical_cell_tracking,Cell Tracking Challenge,ctc_learned_hybrid,sequence-disjoint learned appearance linker,official_GT_lineage_edge_metrics,0.1,300,8,300,1,300,0,0.0,0,0,0,0,1.0,0,0.0,0,0,1.0,0,0,0,0,1.3321283238137231,13.321283238137232,10.0,1.0,1279,completed_official_GT_downstream_consequence
biomedical_cell_tracking,Cell Tracking Challenge,ctc_learned_hybrid,sequence-disjoint learned appearance linker,official_GT_lineage_edge_metrics,0.1,500,8,500,1,500,0,0.0,0,0,0,0,1.0,0,0.0,0,0,1.0,0,0,0,0,1.3321283238137231,13.321283238137232,10.0,1.0,1279,completed_official_GT_downstream_consequence
biomedical_cell_tracking,Cell Tracking Challenge,ctc_learned_hybrid,sequence-disjoint learned appearance linker,official_GT_lineage_edge_metrics,0.1,1000,8,1000,1,1000,0,0.0,0,0,0,0,1.0,0,0.0,0,0,1.0,0,0,0,0,1.3321283238137231,13.321283238137232,10.0,1.0,1279,completed_official_GT_downstream_consequence
biomedical_cell_tracking,Cell Tracking Challenge,ctc_learned_hybrid,sequence-disjoint learned appearance linker,official_GT_lineage_edge_metrics,0.1,5000,8,0,0,5000,0,0.0,0,0,0,0,1.0,0,0.0,0,0,1.0,0,0,0,0,0.31917794638576813,13.321283238137232,10.0,1.0,1279,completed_official_GT_downstream_consequence
biomedical_cell_tracking,Cell Tracking Challenge,ctc_learned_hybrid,sequence-disjoint learned appearance linker,official_GT_lineage_edge_metrics,0.1,100,9,100,1,100,0,0.0,0,0,0,0,1.0,0,0.0,0,0,1.0,0,0,0,0,1.3321283238137231,13.321283238137232,10.0,1.0,1604,completed_official_GT_downstream_consequence
biomedical_cell_tracking,Cell Tracking Challenge,ctc_learned_hybrid,sequence-disjoint learned appearance linker,official_GT_lineage_edge_metrics,0.1,300,9,300,1,300,0,0.0,0,0,0,0,1.0,0,0.0,0,0,1.0,0,0,0,0,1.3321283238137231,13.321283238137232,10.0,1.0,1604,completed_official_GT_downstream_consequence
biomedical_cell_tracking,Cell Tracking Challenge,ctc_learned_hybrid,sequence-disjoint learned appearance linker,official_GT_lineage_edge_metrics,0.1,500,9,500,1,500,0,0.0,0,0,0,0,1.0,0,0.0,0,0,1.0,0,0,0,0,1.3321283238137231,13.321283238137232,10.0,1.0,1604,completed_official_GT_downstream_consequence
biomedical_cell_tracking,Cell Tracking Challenge,ctc_learned_hybrid,sequence-disjoint learned appearance linker,official_GT_lineage_edge_metrics,0.1,1000,9,1000,1,1000,0,0.0,0,0,0,0,1.0,0,0.0,0,0,1.0,0,0,0,0,1.3321283238137231,13.321283238137232,10.0,1.0,1604,completed_official_GT_downstream_consequence
biomedical_cell_tracking,Cell Tracking Challenge,ctc_learned_hybrid,sequence-disjoint learned appearance linker,official_GT_lineage_edge_metrics,0.1,5000,9,0,0,5000,0,0.0,0,0,0,0,1.0,0,0.0,0,0,1.0,0,0,0,0,0.3892478962183699,13.321283238137232,10.0,1.0,1604,completed_official_GT_downstream_consequence
biomedical_cell_tracking,Cell Tracking Challenge,ctc_learned_hybrid,sequence-disjoint learned appearance linker,official_GT_lineage_edge_metrics,0.1,100,10,100,1,100,0,0.0,0,0,0,0,1.0,0,0.0,0,0,1.0,0,0,0,0,1.3321283238137231,13.321283238137232,10.0,1.0,1424,completed_official_GT_downstream_consequence
biomedical_cell_tracking,Cell Tracking Challenge,ctc_learned_hybrid,sequence-disjoint learned appearance linker,official_GT_lineage_edge_metrics,0.1,300,10,300,1,300,0,0.0,0,0,0,0,1.0,0,0.0,0,0,1.0,0,0,0,0,1.3321283238137231,13.321283238137232,10.0,1.0,1424,completed_official_GT_downstream_consequence
biomedical_cell_tracking,Cell Tracking Challenge,ctc_learned_hybrid,sequence-disjoint learned appearance linker,official_GT_lineage_edge_metrics,0.1,500,10,500,1,500,0,0.0,0,0,0,0,1.0,0,0.0,0,0,1.0,0,0,0,0,1.3321283238137231,13.321283238137232,10.0,1.0,1424,completed_official_GT_downstream_consequence
