method,audit_policy,empty_block_policy,alpha1,score_source,n_cal_total,n_covered,n_excluded_empty,n_rank_denominator,n_rank,n_nonempty,n_empty_null_videos,n_inf_blockmax_videos,gamma,gamma_star_eff,p_min_theoretical,p_min_block,p_min_effective,emax_theoretical,emax_effective,required_emax,release_feasible,max_observed_e,mean_observed_e,candidate_budget_M,real_candidate_count,dummy_paths,released,official_supported,unsupported,unsupported_actually_true,unsupported_actually_false,unsupported_uncertain,unsupported_unlabeled,audited_released,true_released,false_released,uncertain_released,utr,audited_ftr_on_labeled_released,audited_ftr_supported_plus_labeled,conservative_ftr_uncertain_and_unlabeled_false,recall_proxy,verified_positive_removed,null_superset_size,tau_k,self_consistency_margin,best_margin_k,best_margin_tau,best_margin,selected_e_min,selected_e_mean,selected_e_max,empty_reason,empty_diagnostic
unmatched_as_false_block,treat_unmatched_as_false_baseline,coverage_conditional,0.1,final_score_proxy,10,6,4,6,6,6,4,0,0.5,0.5138983423697506,0.0909090909090909,0.14285714285714285,0.14285714285714285,1.6583123951777001,1.3228756555322954,10.0,False,1.3228756555322954,1.152494986604679,150,98,52,0,0,0,0,0,0,0,0,0,0,0,0.0,,,,0.0,0,15,,,98,15.306122448979592,-14.806122448979592,,,,no_k_satisfies_uniform_self_consistency,resolution_below_required_emax
null_superset_no_audit,remove_official_gt_matches_only,coverage_conditional,0.1,final_score_proxy,10,6,4,6,6,6,4,0,0.5138983423697506,0.5138983423697506,0.0909090909090909,0.14285714285714285,0.14285714285714285,1.648541662775349,1.323368445069401,10.0,False,1.323368445069401,1.1562332319453459,150,98,52,0,0,0,0,0,0,0,0,0,0,0,0.0,,,,0.0,0,15,,,98,15.306122448979592,-14.79222410660984,,,,no_k_satisfies_uniform_self_consistency,resolution_below_required_emax
parc_track_gamma_tuned_uniform_scs,remove_official_gt_matches_and_verified_positive_for_calibration,coverage_conditional,0.1,final_score_proxy,10,6,4,6,6,6,4,0,0.5138983423697506,0.5138983423697506,0.0909090909090909,0.14285714285714285,0.14285714285714285,1.648541662775349,1.323368445069401,10.0,False,1.323368445069401,1.1562332319453459,150,98,52,0,0,0,0,0,0,0,0,0,0,0,0.0,,,,0.0,0,15,,,98,15.306122448979592,-14.79222410660984,,,,no_k_satisfies_uniform_self_consistency,resolution_below_required_emax
