proposal_source,block_definition,rho,alpha,K,seeds,non_empty_seeds,mean_release,min_release,max_release,actual_FTR_mean,actual_FTR_max,actual_FTR_bootstrap95_low,actual_FTR_bootstrap95_high,raw_topK_actual_FTR_mean,best_mass_ratio_mean,max_observed_e_mean,required_e,block_coverage_mean,dominant_empty_reason,control_interpretation
random_score_control_same_candidates,composition_family_pair,0.1,0.1,50,20,2,1.6,0,24,0.08333333333333333,0.875,0.0,0.21041666666666664,0.8780000000000001,0.7850511422699413,106.56503188682363,10.0,0.998914812805209,insufficient_high_e_mass_for_uniform_scs,unsafe_low_budget_random_ordering_diagnostic
random_score_control_same_candidates,composition_family_pair,0.1,0.1,100,20,1,0.35,0,7,0.04285714285714286,0.8571428571428571,0.0,0.12857142857142856,0.8779999999999999,0.41086710448333524,106.56503188682363,10.0,0.998914812805209,insufficient_high_e_mass_for_uniform_scs,unsafe_low_budget_random_ordering_diagnostic
random_score_control_same_candidates,composition_family_pair,0.1,0.1,300,20,0,0.0,0,0,0.0,0.0,0.0,0.0,0.8548333333333333,0.14987556049114864,106.56503188682363,10.0,0.998914812805209,insufficient_high_e_mass_for_uniform_scs,refusal_at_moderate_or_high_budget
random_score_control_same_candidates,composition_family_pair,0.1,0.1,1000,20,0,0.0,0,0,0.0,0.0,0.0,0.0,0.8538,0.05905139039634536,106.56503188682363,10.0,0.998914812805209,insufficient_high_e_mass_for_uniform_scs,refusal_at_moderate_or_high_budget
random_score_control_same_candidates,composition_family_pair,0.1,0.2,50,20,17,41.6,0,50,0.7539509803921568,0.96,0.609229411764706,0.8828333333333331,0.8780000000000001,1.5701022845398827,106.56503188682363,5.0,0.998914812805209,,unsafe_low_budget_random_ordering_diagnostic
random_score_control_same_candidates,composition_family_pair,0.1,0.2,100,20,2,1.6,0,24,0.08333333333333333,0.875,0.0,0.21041666666666664,0.8779999999999999,0.8217342089666705,106.56503188682363,5.0,0.998914812805209,insufficient_high_e_mass_for_uniform_scs,unsafe_low_budget_random_ordering_diagnostic
random_score_control_same_candidates,composition_family_pair,0.1,0.2,300,20,0,0.0,0,0,0.0,0.0,0.0,0.0,0.8548333333333333,0.2997511209822973,106.56503188682363,5.0,0.998914812805209,insufficient_high_e_mass_for_uniform_scs,refusal_at_moderate_or_high_budget
random_score_control_same_candidates,composition_family_pair,0.1,0.2,1000,20,0,0.0,0,0,0.0,0.0,0.0,0.0,0.8538,0.11810278079269072,106.56503188682363,5.0,0.998914812805209,insufficient_high_e_mass_for_uniform_scs,refusal_at_moderate_or_high_budget
