method,audit_policy,empty_block_policy,alpha1,score_source,n_cal_total,n_covered,n_excluded_empty,n_rank_denominator,n_rank,n_nonempty,n_empty_null_videos,n_inf_blockmax_videos,gamma,gamma_star_eff,p_min_theoretical,p_min_block,p_min_effective,emax_theoretical,emax_effective,required_emax,release_feasible,max_observed_e,mean_observed_e,candidate_budget_M,real_candidate_count,dummy_paths,released,official_supported,unsupported,unsupported_actually_true,unsupported_actually_false,unsupported_uncertain,unsupported_unlabeled,audited_released,true_released,false_released,uncertain_released,utr,audited_ftr_on_labeled_released,audited_ftr_supported_plus_labeled,conservative_ftr_uncertain_and_unlabeled_false,recall_proxy,verified_positive_removed,null_superset_size,tau_k,self_consistency_margin,best_margin_k,best_margin_tau,best_margin,selected_e_min,selected_e_mean,selected_e_max,empty_reason,empty_diagnostic,seed,method_family,runtime_sec,baseline_note,dataset,generator
tracklet_e_bh,,,0.1,,,,,,,,,,,,,,,,,,,,,50,,,0,0,0,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,baseline_selected_empty,2,diagnostic_baseline,0.0002996334806084,tracklet_level_e_self_consistency,OVT-B,OWLv2-smallM
post_filter_e_bh,,,0.1,,,,,,,,,,,,,,,,,,,,,50,,,0,0,0,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,baseline_selected_empty,2,diagnostic_baseline,0.0002728030085563,block_evalue_post_filter,OVT-B,OWLv2-smallM
greedy_score_no_risk,,,0.1,,,,,,,,,,,,,,,,,,,,,50,,,50,9,41,,,,,,,,,0.82,,,0.82,1.0,,,,,,,,,,,,,2,diagnostic_baseline,0.0001147147268056,top_m_by_score_no_risk_control,OVT-B,OWLv2-smallM
confidence_threshold,,,0.1,,,,,,,,,,,,,,,,,,,,,75,,,75,14,61,,,,,,,,,0.8133333333333334,,,0.8133333333333334,1.0,,,,,,,,,,,,,2,diagnostic_baseline,0.0001442208886146,score_threshold_from_calibration_null_quantile,OVT-B,OWLv2-smallM
tracklet_p_bh,,,0.1,,,,,,,,,,,,,,,,,,,,,75,,,75,14,61,,,,,,,,,0.8133333333333334,,,0.8133333333333334,1.0,,,,,,,,,,,,,2,diagnostic_baseline,0.000133940950036,tracklet_level_p_bh,OVT-B,OWLv2-smallM
tracklet_e_bh,,,0.1,,,,,,,,,,,,,,,,,,,,,75,,,0,0,0,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,baseline_selected_empty,2,diagnostic_baseline,0.0002945438027381,tracklet_level_e_self_consistency,OVT-B,OWLv2-smallM
post_filter_e_bh,,,0.1,,,,,,,,,,,,,,,,,,,,,75,,,0,0,0,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,baseline_selected_empty,2,diagnostic_baseline,0.0002717413008213,block_evalue_post_filter,OVT-B,OWLv2-smallM
greedy_score_no_risk,,,0.1,,,,,,,,,,,,,,,,,,,,,75,,,75,14,61,,,,,,,,,0.8133333333333334,,,0.8133333333333334,1.0,,,,,,,,,,,,,2,diagnostic_baseline,0.0001252759248018,top_m_by_score_no_risk_control,OVT-B,OWLv2-smallM
confidence_threshold,,,0.1,,,,,,,,,,,,,,,,,,,,,100,,,100,19,81,,,,,,,,,0.81,,,0.81,1.0,,,,,,,,,,,,,2,diagnostic_baseline,0.0002126097679138,score_threshold_from_calibration_null_quantile,OVT-B,OWLv2-smallM
tracklet_p_bh,,,0.1,,,,,,,,,,,,,,,,,,,,,100,,,100,19,81,,,,,,,,,0.81,,,0.81,1.0,,,,,,,,,,,,,2,diagnostic_baseline,0.00014871917665,tracklet_level_p_bh,OVT-B,OWLv2-smallM
tracklet_e_bh,,,0.1,,,,,,,,,,,,,,,,,,,,,100,,,0,0,0,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,baseline_selected_empty,2,diagnostic_baseline,0.0002968674525618,tracklet_level_e_self_consistency,OVT-B,OWLv2-smallM
post_filter_e_bh,,,0.1,,,,,,,,,,,,,,,,,,,,,100,,,0,0,0,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,baseline_selected_empty,2,diagnostic_baseline,0.0002967584878206,block_evalue_post_filter,OVT-B,OWLv2-smallM
greedy_score_no_risk,,,0.1,,,,,,,,,,,,,,,,,,,,,100,,,100,19,81,,,,,,,,,0.81,,,0.81,1.0,,,,,,,,,,,,,2,diagnostic_baseline,0.0001229709014296,top_m_by_score_no_risk_control,OVT-B,OWLv2-smallM
confidence_threshold,,,0.1,,,,,,,,,,,,,,,,,,,,,125,,,125,22,103,,,,,,,,,0.824,,,0.824,1.0,,,,,,,,,,,,,2,diagnostic_baseline,0.0002144621685147,score_threshold_from_calibration_null_quantile,OVT-B,OWLv2-smallM
tracklet_p_bh,,,0.1,,,,,,,,,,,,,,,,,,,,,125,,,125,22,103,,,,,,,,,0.824,,,0.824,1.0,,,,,,,,,,,,,2,diagnostic_baseline,0.0001377891749143,tracklet_level_p_bh,OVT-B,OWLv2-smallM
tracklet_e_bh,,,0.1,,,,,,,,,,,,,,,,,,,,,125,,,0,0,0,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,baseline_selected_empty,2,diagnostic_baseline,0.0002975389361381,tracklet_level_e_self_consistency,OVT-B,OWLv2-smallM
post_filter_e_bh,,,0.1,,,,,,,,,,,,,,,,,,,,,125,,,0,0,0,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,baseline_selected_empty,2,diagnostic_baseline,0.0003135288134217,block_evalue_post_filter,OVT-B,OWLv2-smallM
greedy_score_no_risk,,,0.1,,,,,,,,,,,,,,,,,,,,,125,,,125,22,103,,,,,,,,,0.824,,,0.824,1.0,,,,,,,,,,,,,2,diagnostic_baseline,0.0001229308545589,top_m_by_score_no_risk_control,OVT-B,OWLv2-smallM
confidence_threshold,,,0.1,,,,,,,,,,,,,,,,,,,,,150,,,150,25,125,,,,,,,,,0.8333333333333334,,,0.8333333333333334,1.0,,,,,,,,,,,,,2,diagnostic_baseline,0.0001508435234427,score_threshold_from_calibration_null_quantile,OVT-B,OWLv2-smallM
tracklet_p_bh,,,0.1,,,,,,,,,,,,,,,,,,,,,150,,,150,25,125,,,,,,,,,0.8333333333333334,,,0.8333333333333334,1.0,,,,,,,,,,,,,2,diagnostic_baseline,0.0001390008255839,tracklet_level_p_bh,OVT-B,OWLv2-smallM
tracklet_e_bh,,,0.1,,,,,,,,,,,,,,,,,,,,,150,,,0,0,0,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,baseline_selected_empty,2,diagnostic_baseline,0.0002889335155487,tracklet_level_e_self_consistency,OVT-B,OWLv2-smallM
post_filter_e_bh,,,0.1,,,,,,,,,,,,,,,,,,,,,150,,,0,0,0,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,baseline_selected_empty,2,diagnostic_baseline,0.000265578739345,block_evalue_post_filter,OVT-B,OWLv2-smallM
greedy_score_no_risk,,,0.1,,,,,,,,,,,,,,,,,,,,,150,,,150,25,125,,,,,,,,,0.8333333333333334,,,0.8333333333333334,1.0,,,,,,,,,,,,,2,diagnostic_baseline,0.0001241229474544,top_m_by_score_no_risk_control,OVT-B,OWLv2-smallM
