method,audit_policy,empty_block_policy,alpha1,score_source,n_cal_total,n_covered,n_excluded_empty,n_rank_denominator,n_rank,n_nonempty,n_empty_null_videos,n_inf_blockmax_videos,gamma,gamma_star_eff,p_min_theoretical,p_min_block,p_min_effective,emax_theoretical,emax_effective,required_emax,release_feasible,max_observed_e,mean_observed_e,candidate_budget_M,real_candidate_count,dummy_paths,released,official_supported,unsupported,unsupported_actually_true,unsupported_actually_false,unsupported_uncertain,unsupported_unlabeled,audited_released,true_released,false_released,uncertain_released,utr,audited_ftr_on_labeled_released,audited_ftr_supported_plus_labeled,conservative_ftr_uncertain_and_unlabeled_false,recall_proxy,verified_positive_removed,null_superset_size,tau_k,self_consistency_margin,best_margin_k,best_margin_tau,best_margin,selected_e_min,selected_e_mean,selected_e_max,empty_reason,empty_diagnostic,seed,method_family,runtime_sec,baseline_note,selection_protocol
confidence_threshold,,,0.1,,,,,,,,,,,,,,,,,,,,,150,,,150,145,5,,,,,,,,,0.0333333333333333,0.0,,0.96,1.0,,,,,,,,,,,,,1,diagnostic_baseline,0.0001581199467182,score_threshold_from_calibration_null_quantile,fixed_M_protocol_not_tune_selected
tracklet_p_bh,,,0.1,,,,,,,,,,,,,,,,,,,,,150,,,150,145,5,,,,,,,,,0.0333333333333333,0.0,,0.96,1.0,,,,,,,,,,,,,1,diagnostic_baseline,0.0001597199589014,tracklet_level_p_bh,fixed_M_protocol_not_tune_selected
tracklet_e_bh,,,0.1,,,,,,,,,,,,,,,,,,,,,150,,,0,0,0,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,baseline_selected_empty,1,diagnostic_baseline,0.0003449497744441,tracklet_level_e_self_consistency,fixed_M_protocol_not_tune_selected
post_filter_e_bh,,,0.1,,,,,,,,,,,,,,,,,,,,,150,,,0,0,0,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,baseline_selected_empty,1,diagnostic_baseline,0.0003212410956621,block_evalue_post_filter,fixed_M_protocol_not_tune_selected
greedy_score_no_risk,,,0.1,,,,,,,,,,,,,,,,,,,,,150,,,150,145,5,,,,,,,,,0.0333333333333333,0.0,,0.96,1.0,,,,,,,,,,,,,1,diagnostic_baseline,0.0001436900347471,top_m_by_score_no_risk_control,fixed_M_protocol_not_tune_selected
unmatched_as_false_block,treat_unmatched_as_false_baseline,coverage_conditional,0.1,final_score_proxy,708.0,586.0,122.0,586.0,586.0,586.0,122.0,0.0,0.5,0.1568621343856925,0.001410437235543,0.0017035775127768,0.0017035775127768,13.313526955694432,12.114041439585716,10.0,True,12.114041439585716,6.6252635669289015,150,150.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,2849.0,,,150.0,10.0,-6.347479077279763,,,,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs,2,certified_or_core_baseline,,,fixed_M_protocol_not_tune_selected
null_superset_no_audit,remove_official_gt_matches_only,coverage_conditional,0.1,final_score_proxy,708.0,586.0,122.0,586.0,586.0,586.0,122.0,0.0,0.1568621343856925,0.1568621343856925,0.001410437235543,0.0017035775127768,0.0017035775127768,39.71969476571238,33.873629996856955,10.0,True,33.873629996856955,13.448160605758291,150,150.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,2849.0,,,150.0,10.0,-5.514362915670668,,,,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs,2,certified_or_core_baseline,,,fixed_M_protocol_not_tune_selected
parc_track_gamma_tuned_uniform_scs,remove_official_gt_matches_and_verified_positive_for_calibration,coverage_conditional,0.1,final_score_proxy,708.0,584.0,124.0,584.0,584.0,584.0,124.0,0.0,0.1569461580486026,0.1569461580486026,0.001410437235543,0.0017094017094017,0.0017094017094017,39.71905887205482,33.776299976401,10.0,True,33.776299976401,15.851037836220232,150,150.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,40.0,2809.0,,,84.0,17.857142857142858,-4.479698100294375,,,,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs,2,certified_or_core_baseline,,,fixed_M_protocol_not_tune_selected
confidence_threshold,,,0.1,,,,,,,,,,,,,,,,,,,,,150,,,150,148,2,,,,,,,,,0.0133333333333333,0.0,,0.9666666666666668,1.0,,,,,,,,,,,,,2,diagnostic_baseline,0.0001583192497491,score_threshold_from_calibration_null_quantile,fixed_M_protocol_not_tune_selected
tracklet_p_bh,,,0.1,,,,,,,,,,,,,,,,,,,,,150,,,150,148,2,,,,,,,,,0.0133333333333333,0.0,,0.9666666666666668,1.0,,,,,,,,,,,,,2,diagnostic_baseline,0.0001578098163008,tracklet_level_p_bh,fixed_M_protocol_not_tune_selected
tracklet_e_bh,,,0.1,,,,,,,,,,,,,,,,,,,,,150,,,0,0,0,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,baseline_selected_empty,2,diagnostic_baseline,0.000347301363945,tracklet_level_e_self_consistency,fixed_M_protocol_not_tune_selected
post_filter_e_bh,,,0.1,,,,,,,,,,,,,,,,,,,,,150,,,0,0,0,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,baseline_selected_empty,2,diagnostic_baseline,0.0003150999546051,block_evalue_post_filter,fixed_M_protocol_not_tune_selected
greedy_score_no_risk,,,0.1,,,,,,,,,,,,,,,,,,,,,150,,,150,148,2,,,,,,,,,0.0133333333333333,0.0,,0.9666666666666668,1.0,,,,,,,,,,,,,2,diagnostic_baseline,0.0001430697739124,top_m_by_score_no_risk_control,fixed_M_protocol_not_tune_selected
