proposal_source,K,alpha,raw_unstable_count_mean,PARC_unstable_count_mean,prevented_unstable_followups_mean,raw_topK_FTR_mean,PARC_FTR_mean,evidence_status,evidence_state,source_table,source_sha256
alignn_ff_modern_learned_materials_model,100,0.1,8.55,8.55,0.0,0.0854999999999999,0.0854999999999999,completed_public_DFT_label_followup,completed_evidence,outputs/milestones/fixed_budget_scientific_utility_trial/table_false_followups_prevented.csv,a7f162c6545284be35944ea6fcd5c89303bf6ab39a8d7dc94376addff2a03b39
alignn_ff_modern_learned_materials_model,300,0.1,75.95,11.7,64.25,0.2531666666666666,0.0870024948491858,completed_public_DFT_label_followup,completed_evidence,outputs/milestones/fixed_budget_scientific_utility_trial/table_false_followups_prevented.csv,a7f162c6545284be35944ea6fcd5c89303bf6ab39a8d7dc94376addff2a03b39
alignn_ff_modern_learned_materials_model,500,0.1,163.45,5.15,158.3,0.3269,0.0482207668261013,completed_public_DFT_label_followup,completed_evidence,outputs/milestones/fixed_budget_scientific_utility_trial/table_false_followups_prevented.csv,a7f162c6545284be35944ea6fcd5c89303bf6ab39a8d7dc94376addff2a03b39
alignn_ff_modern_learned_materials_model,1000,0.1,391.0,0.5,390.5,0.3909999999999999,0.0059724934477619,completed_public_DFT_label_followup,completed_evidence,outputs/milestones/fixed_budget_scientific_utility_trial/table_false_followups_prevented.csv,a7f162c6545284be35944ea6fcd5c89303bf6ab39a8d7dc94376addff2a03b39
alignn_ff_modern_learned_materials_model,5000,0.1,2577.4,0.0,2577.4,0.51548,0.0,completed_public_DFT_label_followup,completed_evidence,outputs/milestones/fixed_budget_scientific_utility_trial/table_false_followups_prevented.csv,a7f162c6545284be35944ea6fcd5c89303bf6ab39a8d7dc94376addff2a03b39
alignn_ff_modern_learned_materials_model,100,0.2,8.55,8.55,0.0,0.0854999999999999,0.0854999999999999,completed_public_DFT_label_followup,completed_evidence,outputs/milestones/fixed_budget_scientific_utility_trial/table_false_followups_prevented.csv,a7f162c6545284be35944ea6fcd5c89303bf6ab39a8d7dc94376addff2a03b39
alignn_ff_modern_learned_materials_model,300,0.2,75.95,67.7,8.25,0.2531666666666666,0.2320160314579552,completed_public_DFT_label_followup,completed_evidence,outputs/milestones/fixed_budget_scientific_utility_trial/table_false_followups_prevented.csv,a7f162c6545284be35944ea6fcd5c89303bf6ab39a8d7dc94376addff2a03b39
alignn_ff_modern_learned_materials_model,500,0.2,163.45,27.45,136.0,0.3269,0.1309811557332293,completed_public_DFT_label_followup,completed_evidence,outputs/milestones/fixed_budget_scientific_utility_trial/table_false_followups_prevented.csv,a7f162c6545284be35944ea6fcd5c89303bf6ab39a8d7dc94376addff2a03b39
alignn_ff_modern_learned_materials_model,1000,0.2,391.0,5.15,385.85,0.3909999999999999,0.0482207668261013,completed_public_DFT_label_followup,completed_evidence,outputs/milestones/fixed_budget_scientific_utility_trial/table_false_followups_prevented.csv,a7f162c6545284be35944ea6fcd5c89303bf6ab39a8d7dc94376addff2a03b39
alignn_ff_modern_learned_materials_model,5000,0.2,2577.4,0.0,2577.4,0.51548,0.0,completed_public_DFT_label_followup,completed_evidence,outputs/milestones/fixed_budget_scientific_utility_trial/table_false_followups_prevented.csv,a7f162c6545284be35944ea6fcd5c89303bf6ab39a8d7dc94376addff2a03b39
